claimID,claim,label,claimURL,reason,categories,speaker,checker,tags,article title,publish date,climate,entities,original_split,claim_normalised,categories_list,tags_list,category_text,tag_text,metadata_text,word_count,factcheck_domain,finance_metadata_match,label_normalised,metadata_normalised,is_question,specific_finance_metadata,generic_business_metadata,finance_text_support,campaign_finance_only,finance_selection_reason,binary_label_name
abbc-00160,"An Emissions Reduction Fund is the centrepiece of the Coalition's ""direct action plan"" to address climate change.",in-the-green,http://www.abc.net.au/news/2014-07-27/emissions-reduction-fund-promise-check/5430108,,"['emissions-trading', 'business-economics-and-finance', 'federal-government', 'liberals', 'australia']",,,"['emissions-trading', 'business-economics-and-finance', 'federal-government', 'liberals', 'australia']",Promise check: Allocate $1.55 billion over first three years to establish an Emissions Reduction Fund,"Sun 8 May 2016, 7:37am",,['None'],train,an emissions reduction fund is the centrepiece of the coalition s direct action plan to address climate change,"['emissions-trading', 'business-economics-and-finance', 'federal-government', 'liberals', 'australia']","['emissions-trading', 'business-economics-and-finance', 'federal-government', 'liberals', 'australia']",emissions-trading | business-economics-and-finance | federal-government | liberals | australia,emissions-trading | business-economics-and-finance | federal-government | liberals | australia,emissions-trading | business-economics-and-finance | federal-government | liberals | australia | emissions-trading | business-economics-and-finance | federal-government | liberals | australia,17,www.abc.net.au,True,in-the-green,emissions-trading | business-economics-and-finance | federal-government | liberals | australia | emissions-trading | business-economics-and-finance | federal-government | liberals | australia,False,True,True,False,False,specific_finance_metadata,
para-00129,[From July 1] Labor’s carbon tax goes up by 5 per cent.,mostly true,http://pandora.nla.gov.au//pan/140601/20131209-1141/www.politifact.com.au/truth-o-meter/statements/2013/jul/01/joe-hockey/hockey-says-carbon-price-goes-5-cent-today/index.html,,['Carbon Tax'],Joe Hockey,"Ellie Harvey, Peter Fray",,Hockey says the carbon price goes up 5 per cent today,"Monday, July 1, 2013 at 1:20 p.m.",,['None'],train,from july 1 labor s carbon tax goes up by 5 per cent,['Carbon Tax'],[],Carbon Tax,,carbon tax | ,12,pandora.nla.gov.au,True,mostly true,carbon tax | ,False,True,False,True,False,specific_finance_metadata,genuine
abbc-00296,"The claim: Sex Discrimination Commissioner Elizabeth Broderick says fewer big Australian companies are run by women than by men named Peter and companies run by men named Peter, Michael, David or Andrew outnumber those run by women four to one.",in-between,http://www.abc.net.au/news/2015-10-09/fact-check-women-running-big-companies/6783082,"The claim: Sex Discrimination Commissioner Elizabeth Broderick says fewer big Australian companies are run by women than by men named Peter and companies run by men named Peter, Michael, David or Andrew outnumber those run by women four to one.","['business-economics-and-finance', 'australia']",,,"['business-economics-and-finance', 'australia']","Fact check: Do big companies run by a Peter, a Michael, a David or an Andrew outnumber those run by women four to one?","Thu 3 Mar 2016, 5:52am",,['Australia'],train,the claim sex discrimination commissioner elizabeth broderick says fewer big australian companies are run by women than by men named peter and companies run by men named peter michael david or andrew outnumber those run by women four to one,"['business-economics-and-finance', 'australia']","['business-economics-and-finance', 'australia']",business-economics-and-finance | australia,business-economics-and-finance | australia,business-economics-and-finance | australia | business-economics-and-finance | australia,40,www.abc.net.au,True,in-between,business-economics-and-finance | australia | business-economics-and-finance | australia,False,True,True,False,False,specific_finance_metadata,
tron-02690,Scam to get your credit card number,scam!,https://www.truthorfiction.com/pornmail/,,money-financial,,,,Scam to get your credit card number,"Mar 17, 2015",,['None'],train,scam to get your credit card number,['money-financial'],[],money-financial,,money-financial | ,7,www.truthorfiction.com,True,scam!,money-financial | ,False,True,False,False,False,specific_finance_metadata,misleading
para-00212,"The Coalition’s parental leave scheme is ""fully funded - by abolishing the existing scheme, and importantly by imposing the 1.5 per cent levy on the largest businesses.""",half-true,http://pandora.nla.gov.au//pan/140601/20131209-1141/www.politifact.com.au/truth-o-meter/statements/2013/aug/21/joe-hockey/Fully-funded-PPL-we-like-to-see-numbers/index.html,,"['Child Care', 'Parental Leave', 'Tax']",Joe Hockey,"Peter Martin, Peter Fray",,Fully-funded PPL: we'd like to see the costings,"Wednesday, August 21, 2013 at 3:54 p.m.",,['None'],train,the coalition s parental leave scheme is fully funded by abolishing the existing scheme and importantly by imposing the 1 5 per cent levy on the largest businesses,"['Child Care', 'Parental Leave', 'Tax']",[],Child Care | Parental Leave | Tax,,child care | parental leave | tax | ,27,pandora.nla.gov.au,True,half-true,child care | parental leave | tax | ,False,True,False,False,False,specific_finance_metadata,
para-00052,Says the Coalition’s $22 billion paid parental leave scheme costs more than the Commonwealth spends on childcare or the NBN every year.,half-true,http://pandora.nla.gov.au//pan/140601/20131209-1141/www.politifact.com.au/truth-o-meter/statements/2013/aug/26/kevin-rudd/childcare-versus-paid-parental-leave-which-would-c/index.html,,"['Budget', 'Parental Leave']",Kevin Rudd,"Michael Koziol, Peter Fray",,Childcare versus paid parental leave - which would cost more?,"Monday, August 26, 2013 at 10:46 p.m.",,['Commonwealth_of_Nations'],train,says the coalition s 22 billion paid parental leave scheme costs more than the commonwealth spends on childcare or the nbn every year,"['Budget', 'Parental Leave']",[],Budget | Parental Leave,,budget | parental leave | ,22,pandora.nla.gov.au,True,half-true,budget | parental leave | ,False,True,False,False,False,specific_finance_metadata,
abbc-00113,The claim: Michelle Rowland says the Coalition has not submitted any policies for costing to the Parliamentary Budget Office.,in-the-red,http://www.abc.net.au/news/2013-08-14/michelle-rowland-incorrect-coalition-costings/4865274,The claim: Michelle Rowland says the Coalition has not submitted any policies for costing to the Parliamentary Budget Office.,"['federal-government', 'federal-elections', 'budget', 'australia']",,,"['federal-government', 'federal-elections', 'budget', 'australia']",Labor MP Michelle Rowland incorrect on the Coalition's policy costings,"Tue 13 Aug 2013, 4:13pm",,['Coalition_(Australia)'],train,the claim michelle rowland says the coalition has not submitted any policies for costing to the parliamentary budget office,"['federal-government', 'federal-elections', 'budget', 'australia']","['federal-government', 'federal-elections', 'budget', 'australia']",federal-government | federal-elections | budget | australia,federal-government | federal-elections | budget | australia,federal-government | federal-elections | budget | australia | federal-government | federal-elections | budget | australia,19,www.abc.net.au,True,in-the-red,federal-government | federal-elections | budget | australia | federal-government | federal-elections | budget | australia,False,True,False,True,False,specific_finance_metadata,
abbc-00329,"The Coalition's workplace relations plan was the second of its formal election policies to be launched, four months before the federal election.",in-between,http://www.abc.net.au/news/2014-11-07/no-cuts-to-penalty-rates-promise-check/5695272,,"['work', 'community-and-society', 'federal-government', 'small-business', 'business-economics-and-finance', 'liberals', 'australia']",,,"['work', 'community-and-society', 'federal-government', 'small-business', 'business-economics-and-finance', 'liberals', 'australia']",Promise check: No cuts to penalty rates,"Sun 8 May 2016, 8:08am",,['Coalition_(Australia)'],train,the coalition s workplace relations plan was the second of its formal election policies to be launched four months before the federal election,"['work', 'community-and-society', 'federal-government', 'small-business', 'business-economics-and-finance', 'liberals', 'australia']","['work', 'community-and-society', 'federal-government', 'small-business', 'business-economics-and-finance', 'liberals', 'australia']",work | community-and-society | federal-government | small-business | business-economics-and-finance | liberals | australia,work | community-and-society | federal-government | small-business | business-economics-and-finance | liberals | australia,work | community-and-society | federal-government | small-business | business-economics-and-finance | liberals | australia | work | community-and-society | federal-government | small-business | business-economics-and-finance | liberals | australia,22,www.abc.net.au,True,in-between,work | community-and-society | federal-government | small-business | business-economics-and-finance | liberals | australia | work | community-and-society | federal-government | small-business | business-economics-and-finance | liberals | australia,False,True,True,False,False,specific_finance_metadata,
farg-00065,"“The average American worker today, despite the strong economy, is not getting ahead.”",misleading,https://www.factcheck.org/2018/06/sanders-misleading-wage-claim/,,the-factcheck-wire,FactCheck.org,Brooks Jackson,['real wages'],Sanders’ Misleading Wage Claim,"June 11, 2018",2018-06-11 21:11:27 UTC,['United_States'],train,the average american worker today despite the strong economy is not getting ahead,['the-factcheck-wire'],['real wages'],the-factcheck-wire,real wages,the-factcheck-wire | real wages,13,www.factcheck.org,True,misleading,the-factcheck-wire | real wages,False,True,False,True,False,specific_finance_metadata,misleading
fani-00007,CLAIM: “City Deals” by the UK Government are part of the Democratic Unionist Party’s Confidence and Supply Agreement with the Conservative Party.,conclusion: unclear,https://factcheckni.org/facts/were-city-deals-part-of-dups-confidence-and-supply-agreement/,,economy,,,,Were “City Deals” part of DUP’s Confidence and Supply Agreement?,,,['None'],train,claim city deals by the uk government are part of the democratic unionist party s confidence and supply agreement with the conservative party,['economy'],[],economy,,economy | ,22,factcheckni.org,True,conclusion: unclear,economy | ,False,True,False,False,False,specific_finance_metadata,
para-00048,Since we were elected we've trebled the amount of wind power in Australia.,mostly true,http://pandora.nla.gov.au//pan/140601/20131209-1141/www.politifact.com.au/truth-o-meter/statements/2013/aug/28/mark-butler/youve-got-wind-power-it-thanks-labor/index.html,,"['Carbon Tax', 'Environment']",Mark Butler,"Michael Koziol, Peter Fray",,You've got the (wind) power! But is it thanks to Labor?,"Wednesday, August 28, 2013 at 4:18 p.m.",,['Australia'],train,since we were elected we ve trebled the amount of wind power in australia,"['Carbon Tax', 'Environment']",[],Carbon Tax | Environment,,carbon tax | environment | ,13,pandora.nla.gov.au,True,mostly true,carbon tax | environment | ,False,True,False,False,False,specific_finance_metadata,genuine
abbc-00279,"In terms of how I have described my attitude towards negative gearing, I have always understood that for the vast majority of Australians who use negative gearing they are modest income earning Australians, nurses, teachers, police, Treasurer Scott Morrison told the National Press Club in February.",in-between,http://www.abc.net.au/news/2016-03-03/fact-check-negative-gearing-scott-morrison/7180812,"Mr Morrison's claim is selective. Australian Tax Office data shows that one in 10 Australians who files a tax return is negatively geared in terms of rental property. Data provided by Mr Morrison's office, based on Treasury calculations, showed 67 per cent of the people who use negative gearing have taxable incomes of $80,000 or less. This was backed up by Fact Check's analysis of ATO statistics. However, as 82 per cent of all taxpayers have taxable incomes below $80,000, it is not surprising that most of the negative gearers fall into this category. As this category represents only 67 per cent of negative gearers, it is clear that these taxpayers use negative gearing proportionately less than taxpayers with higher income. Put another way, only 8 per cent of people with taxable incomes less than $80,000 use negative gearing, compared with more than double that proportion among people with taxable incomes above $80,000. Similarly, people with taxable incomes over $80,000 receive 42 per cent of the negative gearing benefit, but they only represent 33 per cent of all negative gearers. Finally, those with a total income (including negative gearing benefit) of $52,000 a year or less — an income more in line with the definition of modest as a ""moderate"" or median income — represent 59 per cent of all taxpayers, but only 40 per cent of negatively geared taxpayers. Only 4 per cent of these people use negative gearing. When the negative gearing benefit is removed by taking out their rental losses, they represent 33 per cent of people who use negative gearing.","['tax', 'housing', 'business-economics-and-finance', 'liberals', 'australia']",,,"['tax', 'housing', 'business-economics-and-finance', 'liberals', 'australia']",Fact check: Do most negative gearers earn a modest income?,"Mon 7 Mar 2016, 5:21am",,['Australia'],train,in terms of how i have described my attitude towards negative gearing i have always understood that for the vast majority of australians who use negative gearing they are modest income earning australians nurses teachers police treasurer scott morrison told the national press club in february,"['tax', 'housing', 'business-economics-and-finance', 'liberals', 'australia']","['tax', 'housing', 'business-economics-and-finance', 'liberals', 'australia']",tax | housing | business-economics-and-finance | liberals | australia,tax | housing | business-economics-and-finance | liberals | australia,tax | housing | business-economics-and-finance | liberals | australia | tax | housing | business-economics-and-finance | liberals | australia,46,www.abc.net.au,True,in-between,tax | housing | business-economics-and-finance | liberals | australia | tax | housing | business-economics-and-finance | liberals | australia,False,True,True,True,False,specific_finance_metadata,
farg-00247,"Claims that under his plan, ""a middle-class family with two children will get about a 35 percent tax reduction.""",misleading,https://www.factcheck.org/2016/11/trumps-tax-cut-claims/,,the-factcheck-wire,Donald Trump,Lori Robertson,"['2016 TV Ad', 'income tax']",Trump’s Tax Cut Claims,"November 4, 2016","[' Rally in Florida – Tuesday, October 25, 2016 ']",['None'],train,claims that under his plan a middle class family with two children will get about a 35 percent tax reduction,['the-factcheck-wire'],"['2016 TV Ad', 'income tax']",the-factcheck-wire,2016 TV Ad | income tax,the-factcheck-wire | 2016 tv ad | income tax,19,www.factcheck.org,True,misleading,the-factcheck-wire | 2016 tv ad | income tax,False,True,False,True,False,specific_finance_metadata,misleading
para-00054,Forty-seven per cent of people who will vote in September are aged 50 years and over.,true,http://pandora.nla.gov.au//pan/140601/20131209-1141/www.politifact.com.au/truth-o-meter/statements/2013/aug/26/national-seniors-australia/seniors-politicians-ignore-them-their-perile-them/index.html,,"['Aged', 'Pension']",National Seniors Australia,"Chris Pash, Peter Fray",,Seniors: Politicians ignore them at their peril,"Monday, August 26, 2013 at 3:54 p.m.",,['None'],train,forty seven per cent of people who will vote in september are aged 50 years and over,"['Aged', 'Pension']",[],Aged | Pension,,aged | pension | ,16,pandora.nla.gov.au,True,true,aged | pension | ,False,True,False,False,False,specific_finance_metadata,genuine
abbc-00364,"Before the 2013 federal election the Coalition promised to ""build better roads in Perth"".",in-between,http://www.abc.net.au/news/2014-07-27/swan-valley-bypass-promise-check/5505120,,"['road-transport', 'industry', 'abbott-tony', 'liberals', 'federal-government', 'business-economics-and-finance', 'perth-6000', 'wa', 'muchea-6501', 'australia', 'ellenbrook-6069', 'bullsbrook-6084']",,,"['road-transport', 'industry', 'abbott-tony', 'liberals', 'federal-government', 'business-economics-and-finance', 'perth-6000', 'wa', 'muchea-6501', 'australia', 'ellenbrook-6069', 'bullsbrook-6084']",Promise check: $615m to build the Swan Valley Bypass,"Sun 8 May 2016, 7:37am",,"['Perth', 'Coalition_(Australia)']",train,before the 2013 federal election the coalition promised to build better roads in perth,"['road-transport', 'industry', 'abbott-tony', 'liberals', 'federal-government', 'business-economics-and-finance', 'perth-6000', 'wa', 'muchea-6501', 'australia', 'ellenbrook-6069', 'bullsbrook-6084']","['road-transport', 'industry', 'abbott-tony', 'liberals', 'federal-government', 'business-economics-and-finance', 'perth-6000', 'wa', 'muchea-6501', 'australia', 'ellenbrook-6069', 'bullsbrook-6084']",road-transport | industry | abbott-tony | liberals | federal-government | business-economics-and-finance | perth-6000 | wa | muchea-6501 | australia | ellenbrook-6069 | bullsbrook-6084,road-transport | industry | abbott-tony | liberals | federal-government | business-economics-and-finance | perth-6000 | wa | muchea-6501 | australia | ellenbrook-6069 | bullsbrook-6084,road-transport | industry | abbott-tony | liberals | federal-government | business-economics-and-finance | perth-6000 | wa | muchea-6501 | australia | ellenbrook-6069 | bullsbrook-6084 | road-transport | industry | abbott-tony | liberals | federal-government | business-economics-and-finance | perth-6000 | wa | muchea-6501 | australia | ellenbrook-6069 | bullsbrook-6084,14,www.abc.net.au,True,in-between,road-transport | industry | abbott-tony | liberals | federal-government | business-economics-and-finance | perth-6000 | wa | muchea-6501 | australia | ellenbrook-6069 | bullsbrook-6084 | road-transport | industry | abbott-tony | liberals | federal-government | business-economics-and-finance | perth-6000 | wa | muchea-6501 | australia | ellenbrook-6069 | bullsbrook-6084,False,True,True,False,False,specific_finance_metadata,
abbc-00352,Before the 2013 federal election Tony Abbott pledged to create a million jobs in five years and two million in a decade.,in-between,http://www.abc.net.au/news/2014-07-27/one-million-new-jobs-promise-check/5408632,,"['work', 'federal-government', 'abbott-tony', 'business-economics-and-finance', 'liberals', 'industry', 'australia']",,,"['work', 'federal-government', 'abbott-tony', 'business-economics-and-finance', 'liberals', 'industry', 'australia']",Promise check: Generate 1 million new jobs in five years,"Sun 8 May 2016, 7:37am",,['Tony_Abbott'],train,before the 2013 federal election tony abbott pledged to create a million jobs in five years and two million in a decade,"['work', 'federal-government', 'abbott-tony', 'business-economics-and-finance', 'liberals', 'industry', 'australia']","['work', 'federal-government', 'abbott-tony', 'business-economics-and-finance', 'liberals', 'industry', 'australia']",work | federal-government | abbott-tony | business-economics-and-finance | liberals | industry | australia,work | federal-government | abbott-tony | business-economics-and-finance | liberals | industry | australia,work | federal-government | abbott-tony | business-economics-and-finance | liberals | industry | australia | work | federal-government | abbott-tony | business-economics-and-finance | liberals | industry | australia,22,www.abc.net.au,True,in-between,work | federal-government | abbott-tony | business-economics-and-finance | liberals | industry | australia | work | federal-government | abbott-tony | business-economics-and-finance | liberals | industry | australia,False,True,True,False,False,specific_finance_metadata,
para-00156,"If we increase Year 12 completion rates to 90 per cent, we'll increase productivity by 0.6 per cent a year.",false,http://pandora.nla.gov.au//pan/140601/20131209-1141/www.politifact.com.au/truth-o-meter/statements/2013/jun/07/wayne-swan/swan-says-raising-year-12-completion-rates-will-li/index.html,,"['Economy', 'Education']",Wayne Swan,"Ellie Harvey, Peter Fray",,Swan says raising Year 12 completion rates will lift productivity by 0.6 per cent a year,"Friday, June 7, 2013 at 5:28 p.m.",,['None'],train,if we increase year 12 completion rates to 90 per cent we ll increase productivity by 0 6 per cent a year,"['Economy', 'Education']",[],Economy | Education,,economy | education | ,20,pandora.nla.gov.au,True,false,economy | education | ,False,True,False,False,False,specific_finance_metadata,misleading
abbc-00395,The claim: Bill Shorten says a thousand manufacturing jobs have been lost every month the Abbott Government's been in power.,in-between,http://www.abc.net.au/news/2014-02-19/bill-shorten-cherrypicking-manufacturing-job-loss-figures/5260996,The claim: Bill Shorten says a thousand manufacturing jobs have been lost every month the Abbott Government's been in power.,"['work', 'business-economics-and-finance', 'bill-shorten', 'alp', 'manufacturing', 'industry', 'australia']",,,"['work', 'business-economics-and-finance', 'bill-shorten', 'alp', 'manufacturing', 'industry', 'australia']",Bill Shorten cherrypicking manufacturing job loss figures,"Mon 3 Mar 2014, 12:38am",,['None'],train,the claim bill shorten says a thousand manufacturing jobs have been lost every month the abbott government s been in power,"['work', 'business-economics-and-finance', 'bill-shorten', 'alp', 'manufacturing', 'industry', 'australia']","['work', 'business-economics-and-finance', 'bill-shorten', 'alp', 'manufacturing', 'industry', 'australia']",work | business-economics-and-finance | bill-shorten | alp | manufacturing | industry | australia,work | business-economics-and-finance | bill-shorten | alp | manufacturing | industry | australia,work | business-economics-and-finance | bill-shorten | alp | manufacturing | industry | australia | work | business-economics-and-finance | bill-shorten | alp | manufacturing | industry | australia,20,www.abc.net.au,True,in-between,work | business-economics-and-finance | bill-shorten | alp | manufacturing | industry | australia | work | business-economics-and-finance | bill-shorten | alp | manufacturing | industry | australia,False,True,True,False,False,specific_finance_metadata,
