id,statement,subject,matched_financial_subjects,matched_high_confidence_terms,matched_supporting_terms,matched_off_topic_patterns,financial_match_source,binary_label,binary_label_name,speaker,date,context,original_split,word_count,financially_relevant,standalone_claim,audit_notes
4374,"U.S. unemployment among people ages 16 to 24 is ""18.4 percent, which is a 60-year high.",jobs;occupy wall street;workers,jobs;workers,,unemployment,,subject_and_supporting_text,1,genuine,matthew rothschild,"October 4, 2011",an interview,train,16,yes,yes,
5707,"It took us four years to balance the budget. Then I gave you four surplus budgets for the first time in more than 70 years, paid $600 billion down on the national debt.",deficit;federal budget,deficit;federal budget,national_debt,budget;debt,,high_confidence_and_subject,1,genuine,bill clinton,"June 2, 2012",a video posted on YouTube,test,33,yes,no,"Budget and national-debt claims are relevant, but the first-person administration is not identified."
7731,"While fat-cat bureaucrats at the Department of Education are getting paid an average salary of $102,000 a year, teachers in Georgia are getting paid half of that.",education;federal budget,federal budget,,salary,,subject_and_supporting_text,1,genuine,paul broun,"July 19, 2013",a press release,train,27,yes,yes,
1125,"In the 1950s, ""A lot of people got rich — and they had to pay a top tax rate of 90 percent.",taxes,taxes,,tax,,subject_and_supporting_text,1,genuine,michael moore,"October 2, 2009","his movie ""Capitalism: A Love Story""",train,22,yes,yes,
2394,I said no to these big bank bailouts.,economy;message machine 2010;voting record,economy,bailout,bank,quote_attribution,high_confidence_and_subject,1,genuine,lloyd doggett,"October 4, 2010",a TV ad,valid,8,yes,yes,
16443,"The Amazon rainforest fires are ""directly related to trade"" tensions between the United States and China.",environment;china;trade,trade,,trade,,subject_and_supporting_text,0,misleading,john delaney,"August 27, 2019",an interview,train,16,no,yes,The main assertion concerns rainforest fires; trade tension is only the proposed cause.
2392,O'Shaughnessy even voted for her own personal stimulus package -- a taxpayer-funded pay raise for herself.,public service,,stimulus,,,high_confidence_text,0,misleading,jon husted,"September 27, 2010",a television campaign ad,test,16,no,yes,"A political attack about a personal pay raise, not a substantive finance or economics claim."
10064,The proposed transportation tax plan revokes a tax-credit for consumers' electric cars while the state retains similar credits for similar vehicles for businesses.,transportation;taxes,taxes,,credit;tax,,subject_and_supporting_text,1,genuine,atlanta journal-constitution,"February 10, 2015",news reports,train,23,yes,yes,
1439,"The Florida Legislature raised taxes and fees by almost $2 billion"" in the 2009 session.",economy;taxes,economy;taxes,,tax,,subject_and_supporting_text,1,genuine,charlie justice,"December 18, 2009",a news release,train,15,yes,yes,
4124,"Says allowing the payroll tax holiday to expire would end up ""costing another estimated 900,000 jobs in 2012.",taxes,taxes,,job;tax,,subject_and_supporting_text,1,genuine,jeff merkley,"August 3, 2011",letter to a constituent,train,18,yes,yes,
8812,"Oregon today has 100,000 more jobs than it did when I was elected.",jobs,jobs,,job,,subject_and_supporting_text,1,genuine,john kitzhaber,"May 7, 2014",an email to supporters,train,13,yes,yes,
14511,"Studies show ""the 2016 shooting and murder rate in Chicago cost us about $9.6 BILLION DOLLARS"" and ""the entire City budget for 2018 is $8.6 billion dollars. This math does not work, it is financially killing our city.",crime,,,budget;financial,,multiple_text_signals,0,misleading,garry mccarthy,"March 30, 2018",a campaign post,test,38,yes,yes,
2661,"Federal spending is ""the highest it's been as a share of our economy in 60 years (and) revenue is the lowest it's been as a share of our economy in 60 years.",economy;federal budget;this week - abc news;taxes,economy;federal budget;taxes,,economy;revenue;spending,,subject_and_supporting_text,1,genuine,kent conrad,"November 14, 2010","an interview on ABC's ""This Week with Christiane Amanpour""",valid,32,yes,yes,
13294,Missouri is actually the only state that has been forced to borrow money from the federal government to pay for unemployment benefits during each of the last five economic downturns.,state budget,state budget,,economic;unemployment,,subject_and_supporting_text,1,genuine,allen andrews,"February 24, 2017",an article on KMAland.com,train,30,yes,yes,
1088,"The Obama administration ""was successful in rushing a massive spending bill through Congress in just two days — after which it sat on the president's desk for three days, while he was away on vacation.",economy;health care;pundits,economy,,spending,,subject_and_supporting_text,0,misleading,thomas sowell,"September 8, 2009",Investor's Business Daily,train,35,no,yes,The statement is mainly about the legislative timing and procedure for passing a bill.
6493,"Says the U.S. Senate has passed ""a budget"" over the last three years ""called the Budget Control Act.",federal budget,federal budget,,budget,,subject_and_supporting_text,0,misleading,robert menendez,"October 10, 2012",a debate on New Jersey 101.5-FM,train,18,yes,yes,
21244,The proposed (Virginia) House budget cuts hundreds of millions in funding for public education…,education;state budget,state budget,,budget,,subject_and_supporting_text,0,misleading,democratic party of virginia,"April 4, 2022",a news release,valid,14,yes,yes,
7925,"Congressional lawmakers earn their salaries ""FOR LIFE,"" which for House Minority Leader Nancy Pelosi would add up to ""$803,700 Dollars a year for LIFE including FREE medical.",congress;federal budget,federal budget,,salary,,subject_and_supporting_text,0,misleading,chain email,"October 15, 2013",an email and social media posts,train,27,yes,yes,
3991,Most countries have no debt ceiling.,deficit;economy;pundits;this week - abc news,deficit;economy,,debt,,subject_and_supporting_text,1,genuine,arianna huffington,"July 24, 2011","a roundtable segment on ABC's ""This Week with Christiane Amanpour""",valid,6,yes,yes,
10134,"Says President Ronald Reagan ""had a month of job creation of 1 million.",jobs;punditfact,jobs,,job,,subject_and_supporting_text,0,misleading,george will,"April 5, 2015",an appearance on Fox News Sunday,train,13,yes,yes,
12508,Kelly Ayotte voted to give big oil more than $20 billion in tax breaks.,voting record;wealth;taxes,taxes;wealth,,tax,,subject_and_supporting_text,1,genuine,democratic senatorial campaign committee,"September 6, 2016",an ad,train,14,yes,yes,
3818,"The state's tax burden has, according to census figures released today, cost our state another 190,000 residents in 2009.",census;economy;taxes,economy;taxes,,tax,,subject_and_supporting_text,0,misleading,tom kean jr. ,"May 24, 2011",a press release,train,19,yes,yes,
8179,"The Employment Non-Discrimination Act ""discriminates against Christian daycare, Christian parents, Christian business owners, and the rights of religious freedom.",lgbtq;religion;workers,workers,,employment,,subject_and_supporting_text,0,misleading,traditional values coalition,"December 6, 2013",a fundraising email,test,19,no,yes,Employment is only part of the act's name; the claim concerns religious discrimination.
2312,"The downsizing of Pinellas County government resulted in about 1,200 people being laid off in a 12 percent unemployment market. … I can tell you that every one of them was hired from the time that Ms. Latvala went into office in 2000.",county budget,,,market;unemployment,,multiple_text_signals,0,misleading,bob hackworth,"September 14, 2010",Dunedin,train,43,yes,yes,
19688,A year ago we had the lowest unemployment in history without using taxpayers money.,federal budget;jobs;facebook fact-checks;coronavirus,federal budget;jobs,,unemployment,,subject_and_supporting_text,0,misleading,facebook posts,"April 24, 2021",a Facebook post,train,14,yes,no,"Unemployment is relevant, but 'we' does not identify the country or jurisdiction."
12879,"Say first grandma Marian Robinson will get a $160,000 annual pension for life when President Barack Obama leaves office.",fake news;punditfact,,pension,,,high_confidence_text,0,misleading,bloggers,"January 9, 2017",Internet posts,train,19,no,yes,A personal pension rumour about one individual rather than a broader financial or economic claim.
8615,Ralph Hall has never voted to raise the debt ceiling.,debt;federal budget;voting record,debt;federal budget,,debt,,subject_and_supporting_text,0,misleading,catpac,"March 10, 2014",a campaign mail flier,valid,10,yes,yes,
1926,Rick Perry accepted more stimulus funds than any other governor except the governors of California and New York.,state budget;states;stimulus,state budget;stimulus,stimulus,,,high_confidence_and_subject,1,genuine,bill white,"June 25, 2010",Corpus Christi,train,18,yes,yes,
4381,Says Bill Clinton opposes President Barack Obama's plan to raise taxes on wealthy Americans.,message machine 2010;taxes,taxes,,tax,,subject_and_supporting_text,0,misleading,american crossroads,"October 10, 2011",Orlando,train,14,yes,yes,
1806,"Social Security, like I told you, is out of money. This year it is borrowing from the general treasury.",social security,social security,social_security,,,high_confidence_and_subject,0,misleading,michele bachmann,"June 11, 2010",,train,19,yes,yes,
1114,"Barack Obama and the Democrats have ""proposed a tax for not having health insurance.",health care;taxes,taxes,,tax,,subject_and_supporting_text,1,genuine,republican national committee,"September 28, 2009",a Web ad,train,14,yes,yes,
10038,"Every illegal immigrant ""can be eligible for up to $36,000 to $38,000 in earned income tax credits without paying a dime in.",immigration;taxes,taxes,income_tax,income;tax,,high_confidence_and_subject,0,misleading,john fredericks,"February 28, 2015",a radio show,test,22,yes,yes,
7626,"The ""most realistic estimates"" for jobs created by Keystone XL are ""maybe 2,000 jobs during the construction of the pipeline.",environment;climate change;energy;jobs,jobs,,job,,subject_and_supporting_text,0,misleading,barack obama,"July 27, 2013",an interview with the 'New York Times',train,20,yes,yes,
1499,"The health care reform bill ""is the largest tax increase in U.S. history.",health care;taxes,taxes,,tax,,subject_and_supporting_text,0,misleading,joe scarborough,"March 24, 2010","a comment on his ""Morning Joe'' program on MSNBC",test,13,yes,yes,
7606,"The Republican-authored state budget includes a provision ""forcing people earning as little as $12,000 to buy private health insurance that could cost them as much as $4,000 per year.",health care;state budget,state budget,state_budget,budget,,high_confidence_and_subject,0,misleading,dave hansen,"July 19, 2013",a news release,train,29,yes,yes,
17724,"Hidden in the CARES Act was an obscure $135 billion tax break for 43,000 millionaires.",taxes;facebook fact-checks,taxes,,tax,,subject_and_supporting_text,1,genuine,facebook posts,"May 14, 2020",on social media,train,15,yes,yes,
3457,"Says Texas routinely gets ""a lot more federal spending"" than it pays in taxes.",federal budget;pundits;taxes,federal budget;taxes,,spending;tax,,subject_and_supporting_text,1,genuine,rachel maddow,"April 12, 2011",an episode of The Rachel Maddow Show,train,14,yes,no,"The tax claim is relevant, but it does not identify the country, government or speaker."
6384,Taxes are lower on families than they've been probably in the last 50 years.,history;taxes,taxes,,tax,,subject_and_supporting_text,1,genuine,barack obama,"September 23, 2012","an interview on CBS' ""60 Minutes""",valid,14,yes,yes,
9823,Colorado raked in $60 million in marijuana taxes and licensing fees in the past year.,drugs;legal issues;taxes;marijuana,taxes,,tax,,subject_and_supporting_text,1,genuine,james aubin,"January 5, 2015",a newspaper commentary,train,15,yes,yes,
3070,"Under the White House's budget proposal, ""we will not be adding more to the national debt"" by the middle of the decade.",deficit;federal budget,deficit;federal budget,national_debt,budget;debt,,high_confidence_and_subject,0,misleading,barack obama,"February 15, 2011",a press conference,train,22,yes,no,"Tax revenue and economic growth are relevant, but 'we've' leaves the jurisdiction unspecified."
3443,"Every time we've cut taxes, revenues have gone up, the economy has grown.",economy;federal budget;this week - abc news;taxes,economy;federal budget;taxes,,economy;revenue;tax,,subject_and_supporting_text,0,misleading,joe walsh,"April 17, 2011","an interview on ""This Week with Christiane Amanpour""",train,13,yes,yes,
9603,"Says Rand Paul ""has put out budgets to cut the military in half.",federal budget;military,federal budget,,budget,,subject_and_supporting_text,0,misleading,adam kinzinger,"October 26, 2014","comments on ABC's ""This Week""",train,13,no,yes,A fabricated sports story; bankruptcy is incidental to the sports-focused claim.
14261,First NFL team declares bankruptcy over kneeling thugs.,fake news;race and ethnicity;sports;punditfact,,bankruptcy,,,high_confidence_text,0,misleading,bloggers,"February 2, 2018",a headline,train,8,yes,yes,
13734,"Under Scott Walker, Wisconsin is ""still 16,000 manufacturing jobs lower than we were during the recession.",economy;jobs;workers,economy;jobs;workers,recession,job,,high_confidence_and_subject,1,genuine,kathleen vinehout,"August 6, 2017",a TV interview,train,16,yes,yes,
13832,"Ending the estate tax would ""protect millions of small businesses and the American farmer.",agriculture;small business;taxes,taxes,,tax,,subject_and_supporting_text,0,misleading,donald trump,"September 27, 2017",Indianapolis,train,14,yes,yes,
11948,"The average time someone used to hold a share of stock back in the '60s was eight years. Now, the average time is four months.",corporations;economy;wealth,corporations;economy;wealth,,stock,,subject_and_supporting_text,1,genuine,mark warner,"June 19, 2016",a radio interview,train,25,yes,yes,
5400,"Says the Pentagon has never passed a financial audit. In fact, the Pentagon is exempt from a federal law that requires all federal agencies to complete annual audits.",federal budget,federal budget,,financial,,subject_and_supporting_text,1,genuine,peter defazio,"April 13, 2012",his congressional website,train,28,yes,yes,
2261,About $4.89 billion in one-time money was used to balance the current state general revenue fund budget.,state budget,state budget,,budget;revenue,,subject_and_supporting_text,0,misleading,ted strickland,"September 17, 2010",a posting to the state's Office of Management and Budget website,train,17,yes,yes,
8042,Finance experts estimate that paying in cash for the $2.5 billion in projects funded by the sales tax saved Gwinnett County more than $1 billion in interest payments.,county budget;taxes,taxes,,tax,,subject_and_supporting_text,1,genuine,charlotte nash,"October 22, 2013",an interview,train,28,yes,no,"The tax comparison is relevant, but 'we're' does not identify the country."
13899,We're the highest developed nation taxed in the world.,taxes,taxes,,tax,,subject_and_supporting_text,0,misleading,donald trump,"October 17, 2017",an interview with E.W. Scripps television,train,9,yes,no,"The debt claim is relevant, but 'our debt' does not identify the country or government."
7132,"Our debt now is about $140,000 per household.",debt;taxes,debt;taxes,,debt,,subject_and_supporting_text,1,genuine,rob portman,"March 21, 2013",a speech on the Senate floor,train,8,yes,yes,
4333,"Wisconsin's new state budget includes ""a 15 percent increase for road construction and yet we've got local towns tearing up"" paved roads and replacing them with gravel.",campaign finance;state budget;transportation,state budget,state_budget,budget,,high_confidence_and_subject,0,misleading,mike mccabe,"September 17, 2011",a speech,train,27,yes,no,"The tax and overseas-cash claim is relevant, but the first-person country reference is not explicit."
13781,We've got about $3 trillion in trapped cash overseas that basically can't come back in this country because of our tax laws.,corporations;taxes,corporations;taxes,,tax,,subject_and_supporting_text,1,genuine,paul ryan,"September 1, 2017",an interview,train,22,yes,yes,
2990,"Says his state budget will ""provide an increase in state funding for the 2011-12 school year.",education;state budget,state budget,state_budget,budget,,high_confidence_and_subject,1,genuine,john kitzhaber,"January 25, 2011",an e-mail,train,16,yes,yes,
4024,"Believe it or not, consumer spending is up over the last eight months.",economy,economy,,spending,,subject_and_supporting_text,1,genuine,john kasich,"July 17, 2011","an appearance on ""Meet the Press""",train,13,yes,yes,
13167,South Florida ranks No. 1 in the gap between wages and housing.,housing;income;poverty,income,,wage,,subject_and_supporting_text,1,genuine,habitat for humanity of broward,"March 16, 2017",a press release,train,12,yes,yes,
5945,Says New Hampshire has the third-highest property tax in the country.,corrections and updates;taxes,taxes,property_tax,tax,,high_confidence_and_subject,1,genuine,jackie cilley,"July 16, 2012",a statement during a candidates forum at Nashua City Hall,train,11,yes,yes,
6010,"The Congressional Budget Office ""has already doubled its estimate for the cost (of Obamacare) so far from roughly $800 billion to $1.7 trillion.",deficit;federal budget;health care;taxes,deficit;federal budget;taxes,,budget,,subject_and_supporting_text,0,misleading,michael riley,"July 26, 2012","a taped debate on ""State of the State""",train,23,yes,yes,
5634,"Says Democratic legislators this year ""don't want to cut your taxes under any circumstances.",taxes,taxes,,tax,,subject_and_supporting_text,0,misleading,chris christie,"May 23, 2012",a video posted on YouTube,train,14,yes,yes,
19890,We have a record 9.3 million job openings in the U.S.,jobs;workers,jobs;workers,,job,,subject_and_supporting_text,1,genuine,glenn grothman,"June 8, 2021",Twitter,train,11,yes,yes,
3597,"Promotes a chart saying that Barack Obama has ""increased the debt"" by 16 percent, compared to George W. Bush, who increased it by 115 percent.",deficit;federal budget;history,deficit;federal budget,,debt,,subject_and_supporting_text,0,misleading,nancy pelosi,"May 3, 2011",a chart posted on her Flickr account,test,25,yes,yes,
4611,"When the national debt reaches $15 trillion, it means that U.S. debt-to-GDP ratio will reach 99.7 percent of our debt and this is $47,900 for every living American.",deficit;federal budget,deficit;federal budget,gdp;national_debt,debt,,high_confidence_and_subject,1,genuine,leonard lance,"November 16, 2011",a speech on the House floor,train,28,yes,yes,
8306,"Since Barack Obama became president of the United States, 95 percent of economic gains have been made by the richest 1 percent.",income;punditfact,income,,economic,,subject_and_supporting_text,1,genuine,joe scarborough,"January 21, 2014","a broadcast of MSNBC's ""Morning Joe""",train,22,yes,yes,
3481,"Says ""many states"" are floundering under crushing deficit spending.",state budget,state budget,,deficit;spending,,subject_and_supporting_text,0,misleading,mike haridopolos,"April 26, 2011",comments announcing a budget deal with the Florida House of Representatives,train,9,yes,yes,
2671,"Milwaukee's problems include ""52 percent black male unemployment.",economy;jobs,economy;jobs,,unemployment,,subject_and_supporting_text,0,misleading,marvin pratt,"November 2, 2010",a TV interview,train,8,yes,yes,
6312,"The Providence Economic Development Partnership . . .which you [Cicilline] chaired, loaned $103,000 in taxpayer funds to one of your campaign workers. The worker never paid back the loan.",city government;corporations;corrections and updates;legal issues,corporations,,economic;loan,,subject_and_supporting_text,1,genuine,brendan doherty,"September 12, 2012",a news conference,train,29,yes,yes,
8270,"If you have a job in this country, (there's a) 97 percent chance that you're not going to be in poverty.",economy;poverty;workers,economy;workers,,job,,subject_and_supporting_text,1,genuine,steve southerland,"January 12, 2014","an interview on ""Fox News Sunday""",train,21,yes,yes,
14217,"On taxes, ""if you go back and look 50 years ago, individuals paid about 7 percent of the total and corporations paid 5 percent. Fast forward 50 years: individuals still 7 percent, corporations (are) down to 2 percent.",wealth;taxes,taxes;wealth,,tax,,subject_and_supporting_text,1,genuine,richard cordray,"December 14, 2017",a speech,train,38,yes,no,"The recession-recovery claim is relevant, but the country referred to by 'we' is not identified."
9121,We've recovered (from the recession) faster and come farther than almost any other advanced country on Earth.,economy,economy,recession,,,high_confidence_and_subject,1,genuine,barack obama,"July 17, 2014",Delaware,train,17,yes,yes,
10950,Women fill two-thirds of minimum wage jobs.,workers,workers,minimum_wage,job;wage,,high_confidence_and_subject,1,genuine,hillary clinton,"September 18, 2015",a roundtable event on women's economic security,test,7,yes,yes,
6187,"When President Obama took office, we were losing 700,000 jobs a month. Now we've had job growth, I think, for 24 consecutive months.",economy;jobs,economy;jobs,,job,,subject_and_supporting_text,1,genuine,david cicilline,"August 28, 2012",a debate on WPRI.com,train,23,yes,yes,
5959,"Says President Barack Obama ""doubled the national debt, which had taken more than two centuries to accumulate, in one year.",debt,debt,national_debt,debt,,high_confidence_and_subject,0,misleading,chain email,"July 10, 2012",a chain e-mail,train,20,yes,yes,
886,"The administration raises revenue for nationalized health care through a series of new taxes, including a light switch tax that would cost every American household $3,128 a year.",taxes,taxes,,revenue;tax,,subject_and_supporting_text,0,misleading,house republican conference,"March 24, 2009",a press release and Web post,valid,28,yes,yes,
2099,Warren Buffett called credit default swaps financial weapons of mass destruction. And Greene was the first individual to use them.,candidate biography;financial regulation;message machine 2010,financial regulation,,credit;financial,,subject_and_supporting_text,1,genuine,kendrick meek,"August 11, 2010",a TV ad,train,20,yes,yes,
