claimID,claim,label,claimURL,reason,categories,speaker,checker,tags,article title,publish date,climate,entities,original_split,claim_normalised,categories_list,tags_list,category_text,tag_text,metadata_text,word_count,factcheck_domain,finance_metadata_match
farg-00382,“VP Mike Pence Busted Stealing Campaign Funds To Pay His Mortgage.”,misleading,https://www.factcheck.org/2018/09/partisan-site-revives-old-pence-controversy/,,fake-news,FactCheck.org,Saranac Hale Spencer,['campaign finance'],Partisan Site Revives Old Pence Controversy,"September 7, 2018",2018-09-07 23:02:53 UTC,['None'],train,vp mike pence busted stealing campaign funds to pay his mortgage,['fake-news'],['campaign finance'],fake-news,campaign finance,fake-news | campaign finance,11,www.factcheck.org,True
abbc-00318,"The claim: Joe Hockey has warned that Australia is at a ""tipping point"" and living beyond its means. ""We cannot continue to go on borrowing $100 million a day as a government just to pay our daily bills,"" he said.",in-between,http://www.abc.net.au/news/2015-02-13/hockey-100-million/6085378,"The claim: Joe Hockey has warned that Australia is at a ""tipping point"" and living beyond its means. ""We cannot continue to go on borrowing $100 million a day as a government just to pay our daily bills,"" he said.","['federal-government', 'budget', 'liberals', 'australia']",,,"['federal-government', 'budget', 'liberals', 'australia']",Fact check: Hockey over-eggs 'borrowing $100 million a day' claim,"Thu 3 Mar 2016, 6:01am",,['None'],train,the claim joe hockey has warned that australia is at a tipping point and living beyond its means we cannot continue to go on borrowing 100 million a day as a government just to pay our daily bills he said,"['federal-government', 'budget', 'liberals', 'australia']","['federal-government', 'budget', 'liberals', 'australia']",federal-government | budget | liberals | australia,federal-government | budget | liberals | australia,federal-government | budget | liberals | australia | federal-government | budget | liberals | australia,40,www.abc.net.au,True
abbc-00393,"The claim: Joe Hockey says within six years Australia will have ""the biggest medical research endowment fund in the world"".",in-between,http://www.abc.net.au/news/2014-05-21/will-australia-have-the-biggest-medical-research-fund/5454810,"The claim: Joe Hockey says within six years Australia will have ""the biggest medical research endowment fund in the world"".","['medical-research', 'health', 'doctors-and-medical-professionals', 'liberals', 'government-and-politics', 'budget', 'hockey-joe', 'australia']",,,"['medical-research', 'health', 'doctors-and-medical-professionals', 'liberals', 'government-and-politics', 'budget', 'hockey-joe', 'australia']",Will Australia's new medical research fund be the biggest in the world?,"Wed 21 May 2014, 3:05am",,['None'],train,the claim joe hockey says within six years australia will have the biggest medical research endowment fund in the world,"['medical-research', 'health', 'doctors-and-medical-professionals', 'liberals', 'government-and-politics', 'budget', 'hockey-joe', 'australia']","['medical-research', 'health', 'doctors-and-medical-professionals', 'liberals', 'government-and-politics', 'budget', 'hockey-joe', 'australia']",medical-research | health | doctors-and-medical-professionals | liberals | government-and-politics | budget | hockey-joe | australia,medical-research | health | doctors-and-medical-professionals | liberals | government-and-politics | budget | hockey-joe | australia,medical-research | health | doctors-and-medical-professionals | liberals | government-and-politics | budget | hockey-joe | australia | medical-research | health | doctors-and-medical-professionals | liberals | government-and-politics | budget | hockey-joe | australia,20,www.abc.net.au,True
abbc-00283,A panel of experts has agreed to advise ABC Fact Check for its work on economic issues.,in-between,http://www.abc.net.au/news/2016-02-18/fact-check-were-300000-jobs-created-in-2015/7135894,A panel of experts has agreed to advise ABC Fact Check for its work on economic issues.,"['unemployment', 'economic-trends', 'turnbull-malcolm', 'liberals', 'australia']",,,"['unemployment', 'economic-trends', 'turnbull-malcolm', 'liberals', 'australia']","Fact check: Were 301,000 jobs created in 2015?","Thu 3 Mar 2016, 1:14am",,['None'],train,a panel of experts has agreed to advise abc fact check for its work on economic issues,"['unemployment', 'economic-trends', 'turnbull-malcolm', 'liberals', 'australia']","['unemployment', 'economic-trends', 'turnbull-malcolm', 'liberals', 'australia']",unemployment | economic-trends | turnbull-malcolm | liberals | australia,unemployment | economic-trends | turnbull-malcolm | liberals | australia,unemployment | economic-trends | turnbull-malcolm | liberals | australia | unemployment | economic-trends | turnbull-malcolm | liberals | australia,17,www.abc.net.au,True
snes-02006,"Walmart has been adding a ""phantom charge"" of $10 to shoppers' bills for 10 years.",false,https://www.snopes.com/fact-check/walmart-jajket/,,Business,,Kim LaCapria,,"If You See This on a Walmart Receipt, Call the Police?",26 July 2017,,['None'],train,walmart has been adding a phantom charge of 10 to shoppers bills for 10 years,['Business'],[],Business,,business | ,15,www.snopes.com,True
tron-01502,President Trump Announces $612 Stimulus Checks,fiction!,https://www.truthorfiction.com/donald-trump-612-checks/,,government,,,"['donald trump', 'presidencies', 'taxes']",President Trump Announces $612 Stimulus Checks,"Feb 15, 2017",,['None'],train,president trump announces 612 stimulus checks,['government'],"['donald trump', 'presidencies', 'taxes']",government,donald trump | presidencies | taxes,government | donald trump | presidencies | taxes,6,www.truthorfiction.com,True
snes-04819,Target's stock price has plummeted due to a boycott over the store's transgender restroom policy.,mixture,https://www.snopes.com/fact-check/target-stock-boycott/,,Business,,Dan Evon,,Target Stock Plummets After One Million People Boycott Stores?,3 May 2016,,['None'],train,target s stock price has plummeted due to a boycott over the store s transgender restroom policy,['Business'],[],Business,,business | ,15,www.snopes.com,True
para-00136,"The 960,000 jobs added under Labor are ""a result of the actions of this government"".",half-true,http://pandora.nla.gov.au//pan/140601/20131209-1141/www.politifact.com.au/truth-o-meter/statements/2013/jun/26/wayne-swan/Jobs-created-result-Labor-actions/index.html,,['Economy'],Wayne Swan,"David Humphries, Su-Lin Tan, Peter Fray",,"The 960,000 jobs added under Labor are ""a result of the actions of this government"".","Wednesday, June 26, 2013 at 6:06 p.m.",,['None'],train,the 960 000 jobs added under labor are a result of the actions of this government,['Economy'],[],Economy,,economy | ,15,pandora.nla.gov.au,True
tron-00566,"Saudi Billionaire Buys Buford, Wyoming, to Build Mecca",fiction!,https://www.truthorfiction.com/saudi-billionaire-buys-buford-wyoming-to-build-mecca/,,business,,,,"Saudi Billionaire Buys Buford, Wyoming, to Build Mecca","Jan 27, 2016",,"['Wyoming', 'Saudi_Arabia']",train,saudi billionaire buys buford wyoming to build mecca,['business'],[],business,,business | ,8,www.truthorfiction.com,True
snes-05948,Monster brand energy drink uses a Hebrew version of 666 in their logo.,false,https://www.snopes.com/fact-check/monster-energy-drink-666/,,Business,,David Mikkelson,,Does the Monster Energy Drink Logo Include the Number 666?,10 November 2014,,['None'],train,monster brand energy drink uses a hebrew version of 666 in their logo,['Business'],[],Business,,business | ,13,www.snopes.com,True
abbc-00160,"An Emissions Reduction Fund is the centrepiece of the Coalition's ""direct action plan"" to address climate change.",in-the-green,http://www.abc.net.au/news/2014-07-27/emissions-reduction-fund-promise-check/5430108,,"['emissions-trading', 'business-economics-and-finance', 'federal-government', 'liberals', 'australia']",,,"['emissions-trading', 'business-economics-and-finance', 'federal-government', 'liberals', 'australia']",Promise check: Allocate $1.55 billion over first three years to establish an Emissions Reduction Fund,"Sun 8 May 2016, 7:37am",,['None'],train,an emissions reduction fund is the centrepiece of the coalition s direct action plan to address climate change,"['emissions-trading', 'business-economics-and-finance', 'federal-government', 'liberals', 'australia']","['emissions-trading', 'business-economics-and-finance', 'federal-government', 'liberals', 'australia']",emissions-trading | business-economics-and-finance | federal-government | liberals | australia,emissions-trading | business-economics-and-finance | federal-government | liberals | australia,emissions-trading | business-economics-and-finance | federal-government | liberals | australia | emissions-trading | business-economics-and-finance | federal-government | liberals | australia,17,www.abc.net.au,True
para-00129,[From July 1] Labor’s carbon tax goes up by 5 per cent.,mostly true,http://pandora.nla.gov.au//pan/140601/20131209-1141/www.politifact.com.au/truth-o-meter/statements/2013/jul/01/joe-hockey/hockey-says-carbon-price-goes-5-cent-today/index.html,,['Carbon Tax'],Joe Hockey,"Ellie Harvey, Peter Fray",,Hockey says the carbon price goes up 5 per cent today,"Monday, July 1, 2013 at 1:20 p.m.",,['None'],train,from july 1 labor s carbon tax goes up by 5 per cent,['Carbon Tax'],[],Carbon Tax,,carbon tax | ,12,pandora.nla.gov.au,True
abbc-00296,"The claim: Sex Discrimination Commissioner Elizabeth Broderick says fewer big Australian companies are run by women than by men named Peter and companies run by men named Peter, Michael, David or Andrew outnumber those run by women four to one.",in-between,http://www.abc.net.au/news/2015-10-09/fact-check-women-running-big-companies/6783082,"The claim: Sex Discrimination Commissioner Elizabeth Broderick says fewer big Australian companies are run by women than by men named Peter and companies run by men named Peter, Michael, David or Andrew outnumber those run by women four to one.","['business-economics-and-finance', 'australia']",,,"['business-economics-and-finance', 'australia']","Fact check: Do big companies run by a Peter, a Michael, a David or an Andrew outnumber those run by women four to one?","Thu 3 Mar 2016, 5:52am",,['Australia'],train,the claim sex discrimination commissioner elizabeth broderick says fewer big australian companies are run by women than by men named peter and companies run by men named peter michael david or andrew outnumber those run by women four to one,"['business-economics-and-finance', 'australia']","['business-economics-and-finance', 'australia']",business-economics-and-finance | australia,business-economics-and-finance | australia,business-economics-and-finance | australia | business-economics-and-finance | australia,40,www.abc.net.au,True
tron-02690,Scam to get your credit card number,scam!,https://www.truthorfiction.com/pornmail/,,money-financial,,,,Scam to get your credit card number,"Mar 17, 2015",,['None'],train,scam to get your credit card number,['money-financial'],[],money-financial,,money-financial | ,7,www.truthorfiction.com,True
para-00212,"The Coalition’s parental leave scheme is ""fully funded - by abolishing the existing scheme, and importantly by imposing the 1.5 per cent levy on the largest businesses.""",half-true,http://pandora.nla.gov.au//pan/140601/20131209-1141/www.politifact.com.au/truth-o-meter/statements/2013/aug/21/joe-hockey/Fully-funded-PPL-we-like-to-see-numbers/index.html,,"['Child Care', 'Parental Leave', 'Tax']",Joe Hockey,"Peter Martin, Peter Fray",,Fully-funded PPL: we'd like to see the costings,"Wednesday, August 21, 2013 at 3:54 p.m.",,['None'],train,the coalition s parental leave scheme is fully funded by abolishing the existing scheme and importantly by imposing the 1 5 per cent levy on the largest businesses,"['Child Care', 'Parental Leave', 'Tax']",[],Child Care | Parental Leave | Tax,,child care | parental leave | tax | ,27,pandora.nla.gov.au,True
para-00052,Says the Coalition’s $22 billion paid parental leave scheme costs more than the Commonwealth spends on childcare or the NBN every year.,half-true,http://pandora.nla.gov.au//pan/140601/20131209-1141/www.politifact.com.au/truth-o-meter/statements/2013/aug/26/kevin-rudd/childcare-versus-paid-parental-leave-which-would-c/index.html,,"['Budget', 'Parental Leave']",Kevin Rudd,"Michael Koziol, Peter Fray",,Childcare versus paid parental leave - which would cost more?,"Monday, August 26, 2013 at 10:46 p.m.",,['Commonwealth_of_Nations'],train,says the coalition s 22 billion paid parental leave scheme costs more than the commonwealth spends on childcare or the nbn every year,"['Budget', 'Parental Leave']",[],Budget | Parental Leave,,budget | parental leave | ,22,pandora.nla.gov.au,True
tron-00535,"Phantom “JAJKET” Item Shows Up on Walmart Receipts, Shoppers Charged $10",investigation pending!,https://www.truthorfiction.com/walmart-jajket-receipt/,,business,,,"['scams', 'walmart', 'warnings']","Phantom “JAJKET” Item Shows Up on Walmart Receipts, Shoppers Charged $10","Jul 25, 2017",,['None'],train,phantom jajket item shows up on walmart receipts shoppers charged 10,['business'],"['scams', 'walmart', 'warnings']",business,scams | walmart | warnings,business | scams | walmart | warnings,11,www.truthorfiction.com,True
abbc-00113,The claim: Michelle Rowland says the Coalition has not submitted any policies for costing to the Parliamentary Budget Office.,in-the-red,http://www.abc.net.au/news/2013-08-14/michelle-rowland-incorrect-coalition-costings/4865274,The claim: Michelle Rowland says the Coalition has not submitted any policies for costing to the Parliamentary Budget Office.,"['federal-government', 'federal-elections', 'budget', 'australia']",,,"['federal-government', 'federal-elections', 'budget', 'australia']",Labor MP Michelle Rowland incorrect on the Coalition's policy costings,"Tue 13 Aug 2013, 4:13pm",,['Coalition_(Australia)'],train,the claim michelle rowland says the coalition has not submitted any policies for costing to the parliamentary budget office,"['federal-government', 'federal-elections', 'budget', 'australia']","['federal-government', 'federal-elections', 'budget', 'australia']",federal-government | federal-elections | budget | australia,federal-government | federal-elections | budget | australia,federal-government | federal-elections | budget | australia | federal-government | federal-elections | budget | australia,19,www.abc.net.au,True
abbc-00329,"The Coalition's workplace relations plan was the second of its formal election policies to be launched, four months before the federal election.",in-between,http://www.abc.net.au/news/2014-11-07/no-cuts-to-penalty-rates-promise-check/5695272,,"['work', 'community-and-society', 'federal-government', 'small-business', 'business-economics-and-finance', 'liberals', 'australia']",,,"['work', 'community-and-society', 'federal-government', 'small-business', 'business-economics-and-finance', 'liberals', 'australia']",Promise check: No cuts to penalty rates,"Sun 8 May 2016, 8:08am",,['Coalition_(Australia)'],train,the coalition s workplace relations plan was the second of its formal election policies to be launched four months before the federal election,"['work', 'community-and-society', 'federal-government', 'small-business', 'business-economics-and-finance', 'liberals', 'australia']","['work', 'community-and-society', 'federal-government', 'small-business', 'business-economics-and-finance', 'liberals', 'australia']",work | community-and-society | federal-government | small-business | business-economics-and-finance | liberals | australia,work | community-and-society | federal-government | small-business | business-economics-and-finance | liberals | australia,work | community-and-society | federal-government | small-business | business-economics-and-finance | liberals | australia | work | community-and-society | federal-government | small-business | business-economics-and-finance | liberals | australia,22,www.abc.net.au,True
farg-00065,"“The average American worker today, despite the strong economy, is not getting ahead.”",misleading,https://www.factcheck.org/2018/06/sanders-misleading-wage-claim/,,the-factcheck-wire,FactCheck.org,Brooks Jackson,['real wages'],Sanders’ Misleading Wage Claim,"June 11, 2018",2018-06-11 21:11:27 UTC,['United_States'],train,the average american worker today despite the strong economy is not getting ahead,['the-factcheck-wire'],['real wages'],the-factcheck-wire,real wages,the-factcheck-wire | real wages,13,www.factcheck.org,True
fani-00007,CLAIM: “City Deals” by the UK Government are part of the Democratic Unionist Party’s Confidence and Supply Agreement with the Conservative Party.,conclusion: unclear,https://factcheckni.org/facts/were-city-deals-part-of-dups-confidence-and-supply-agreement/,,economy,,,,Were “City Deals” part of DUP’s Confidence and Supply Agreement?,,,['None'],train,claim city deals by the uk government are part of the democratic unionist party s confidence and supply agreement with the conservative party,['economy'],[],economy,,economy | ,22,factcheckni.org,True
tron-00575,Dunkin’ Donuts is Closing Down,fiction!,https://www.truthorfiction.com/dunkin-donuts-is-closing-down/,,business,,,,Dunkin’ Donuts is Closing Down,"Sep 17, 2015",,['None'],train,dunkin donuts is closing down,['business'],[],business,,business | ,5,www.truthorfiction.com,True
para-00048,Since we were elected we've trebled the amount of wind power in Australia.,mostly true,http://pandora.nla.gov.au//pan/140601/20131209-1141/www.politifact.com.au/truth-o-meter/statements/2013/aug/28/mark-butler/youve-got-wind-power-it-thanks-labor/index.html,,"['Carbon Tax', 'Environment']",Mark Butler,"Michael Koziol, Peter Fray",,You've got the (wind) power! But is it thanks to Labor?,"Wednesday, August 28, 2013 at 4:18 p.m.",,['Australia'],train,since we were elected we ve trebled the amount of wind power in australia,"['Carbon Tax', 'Environment']",[],Carbon Tax | Environment,,carbon tax | environment | ,13,pandora.nla.gov.au,True
snes-05628,"In accordance with a requirement of their original Royal Charter, the Hudson's Bay Company of Canada makes annual payments of elk and beaver pelts to the Queen of England.",false,https://www.snopes.com/fact-check/fur-the-queen/,,Business,,David Mikkelson,,Canada Company Makes Annual Fur Payments to the Queen,15 June 2001,,"['England', 'Canada']",train,in accordance with a requirement of their original royal charter the hudson s bay company of canada makes annual payments of elk and beaver pelts to the queen of england,['Business'],[],Business,,business | ,29,www.snopes.com,True
abbc-00279,"In terms of how I have described my attitude towards negative gearing, I have always understood that for the vast majority of Australians who use negative gearing they are modest income earning Australians, nurses, teachers, police, Treasurer Scott Morrison told the National Press Club in February.",in-between,http://www.abc.net.au/news/2016-03-03/fact-check-negative-gearing-scott-morrison/7180812,"Mr Morrison's claim is selective. Australian Tax Office data shows that one in 10 Australians who files a tax return is negatively geared in terms of rental property. Data provided by Mr Morrison's office, based on Treasury calculations, showed 67 per cent of the people who use negative gearing have taxable incomes of $80,000 or less. This was backed up by Fact Check's analysis of ATO statistics. However, as 82 per cent of all taxpayers have taxable incomes below $80,000, it is not surprising that most of the negative gearers fall into this category. As this category represents only 67 per cent of negative gearers, it is clear that these taxpayers use negative gearing proportionately less than taxpayers with higher income. Put another way, only 8 per cent of people with taxable incomes less than $80,000 use negative gearing, compared with more than double that proportion among people with taxable incomes above $80,000. Similarly, people with taxable incomes over $80,000 receive 42 per cent of the negative gearing benefit, but they only represent 33 per cent of all negative gearers. Finally, those with a total income (including negative gearing benefit) of $52,000 a year or less — an income more in line with the definition of modest as a ""moderate"" or median income — represent 59 per cent of all taxpayers, but only 40 per cent of negatively geared taxpayers. Only 4 per cent of these people use negative gearing. When the negative gearing benefit is removed by taking out their rental losses, they represent 33 per cent of people who use negative gearing.","['tax', 'housing', 'business-economics-and-finance', 'liberals', 'australia']",,,"['tax', 'housing', 'business-economics-and-finance', 'liberals', 'australia']",Fact check: Do most negative gearers earn a modest income?,"Mon 7 Mar 2016, 5:21am",,['Australia'],train,in terms of how i have described my attitude towards negative gearing i have always understood that for the vast majority of australians who use negative gearing they are modest income earning australians nurses teachers police treasurer scott morrison told the national press club in february,"['tax', 'housing', 'business-economics-and-finance', 'liberals', 'australia']","['tax', 'housing', 'business-economics-and-finance', 'liberals', 'australia']",tax | housing | business-economics-and-finance | liberals | australia,tax | housing | business-economics-and-finance | liberals | australia,tax | housing | business-economics-and-finance | liberals | australia | tax | housing | business-economics-and-finance | liberals | australia,46,www.abc.net.au,True
farg-00247,"Claims that under his plan, ""a middle-class family with two children will get about a 35 percent tax reduction.""",misleading,https://www.factcheck.org/2016/11/trumps-tax-cut-claims/,,the-factcheck-wire,Donald Trump,Lori Robertson,"['2016 TV Ad', 'income tax']",Trump’s Tax Cut Claims,"November 4, 2016","[' Rally in Florida – Tuesday, October 25, 2016 ']",['None'],train,claims that under his plan a middle class family with two children will get about a 35 percent tax reduction,['the-factcheck-wire'],"['2016 TV Ad', 'income tax']",the-factcheck-wire,2016 TV Ad | income tax,the-factcheck-wire | 2016 tv ad | income tax,19,www.factcheck.org,True
para-00054,Forty-seven per cent of people who will vote in September are aged 50 years and over.,true,http://pandora.nla.gov.au//pan/140601/20131209-1141/www.politifact.com.au/truth-o-meter/statements/2013/aug/26/national-seniors-australia/seniors-politicians-ignore-them-their-perile-them/index.html,,"['Aged', 'Pension']",National Seniors Australia,"Chris Pash, Peter Fray",,Seniors: Politicians ignore them at their peril,"Monday, August 26, 2013 at 3:54 p.m.",,['None'],train,forty seven per cent of people who will vote in september are aged 50 years and over,"['Aged', 'Pension']",[],Aged | Pension,,aged | pension | ,16,pandora.nla.gov.au,True
abbc-00364,"Before the 2013 federal election the Coalition promised to ""build better roads in Perth"".",in-between,http://www.abc.net.au/news/2014-07-27/swan-valley-bypass-promise-check/5505120,,"['road-transport', 'industry', 'abbott-tony', 'liberals', 'federal-government', 'business-economics-and-finance', 'perth-6000', 'wa', 'muchea-6501', 'australia', 'ellenbrook-6069', 'bullsbrook-6084']",,,"['road-transport', 'industry', 'abbott-tony', 'liberals', 'federal-government', 'business-economics-and-finance', 'perth-6000', 'wa', 'muchea-6501', 'australia', 'ellenbrook-6069', 'bullsbrook-6084']",Promise check: $615m to build the Swan Valley Bypass,"Sun 8 May 2016, 7:37am",,"['Perth', 'Coalition_(Australia)']",train,before the 2013 federal election the coalition promised to build better roads in perth,"['road-transport', 'industry', 'abbott-tony', 'liberals', 'federal-government', 'business-economics-and-finance', 'perth-6000', 'wa', 'muchea-6501', 'australia', 'ellenbrook-6069', 'bullsbrook-6084']","['road-transport', 'industry', 'abbott-tony', 'liberals', 'federal-government', 'business-economics-and-finance', 'perth-6000', 'wa', 'muchea-6501', 'australia', 'ellenbrook-6069', 'bullsbrook-6084']",road-transport | industry | abbott-tony | liberals | federal-government | business-economics-and-finance | perth-6000 | wa | muchea-6501 | australia | ellenbrook-6069 | bullsbrook-6084,road-transport | industry | abbott-tony | liberals | federal-government | business-economics-and-finance | perth-6000 | wa | muchea-6501 | australia | ellenbrook-6069 | bullsbrook-6084,road-transport | industry | abbott-tony | liberals | federal-government | business-economics-and-finance | perth-6000 | wa | muchea-6501 | australia | ellenbrook-6069 | bullsbrook-6084 | road-transport | industry | abbott-tony | liberals | federal-government | business-economics-and-finance | perth-6000 | wa | muchea-6501 | australia | ellenbrook-6069 | bullsbrook-6084,14,www.abc.net.au,True
tron-02140,Costco Coupon Offers $41 Off Purchase of $50 or More,fiction!,https://www.truthorfiction.com/costco-coupon-41-off-50-purchase/,,internet,,,"['business', 'coupons', 'facebook', 'scams']",Costco Coupon Offers $41 Off $50 Purchase to Celebrate Anniversary,"Oct 19, 2017",,['None'],train,costco coupon offers 41 off purchase of 50 or more,['internet'],"['business', 'coupons', 'facebook', 'scams']",internet,business | coupons | facebook | scams,internet | business | coupons | facebook | scams,10,www.truthorfiction.com,True
tron-00564,Delta Airlines Giving Away Free Tickets,fiction!,https://www.truthorfiction.com/delta-airlines-giving-away-free-tickets/,,business,,,,Delta Airlines Giving Away Free Tickets,"Feb 2, 2016",,['None'],train,delta airlines giving away free tickets,['business'],[],business,,business | ,6,www.truthorfiction.com,True
snes-05737,"President Obama has decreed that the phrase ""In God We Trust"" be removed from all U.S. currency.",false,https://www.snopes.com/fact-check/currency-exchange-2/,,Business,,David Mikkelson,,‘In God We Trust’ to be Removed from U.S. Currency,24 May 2014,,"['United_States', 'Barack_Obama', 'God']",train,president obama has decreed that the phrase in god we trust be removed from all u s currency,['Business'],[],Business,,business | ,17,www.snopes.com,True
snes-06292,Harley-Davidson's 'Fat Boy' motorcycle was designed to represent the dropping of atomic bombs on Japan.,false,https://www.snopes.com/fact-check/fat-boy/,,Business,,David Mikkelson,,Harley-Davidson Fat Boy,8 November 2000,,"['Japan', 'Harley-Davidson']",train,harley davidson s fat boy motorcycle was designed to represent the dropping of atomic bombs on japan,['Business'],[],Business,,business | ,15,www.snopes.com,True
