id,statement,subject,matched_financial_subjects,matched_financial_terms,financial_match_source,binary_label,binary_label_name,speaker,date,context,original_split,word_count,financially_relevant,standalone_claim,audit_notes
11257,"We bailed out"" Johnson Controls when ""we saved the auto industry"" and ""now they want to avoid paying taxes.",corporations;federal budget;technology;transportation;taxes,corporations;federal budget;taxes,,subject,1,genuine,hillary clinton,"February 4, 2016",a debate,train,19,,,
16994,"Says the Democratic Party ""took Social Security from the independent 'Trust Fund' and put it into the general fund so that Congress could spend it"" and ""eliminated the income tax deduction for Social Security (FICA) withholding.",social security;taxes;facebook fact-checks,social security;taxes,income tax,subject_and_text,0,misleading,facebook posts,"July 13, 2018",a Facebook post,train,36,,,
5717,"Says ""Tommy Thompson's tax plan amounts to an average tax cut of almost $87,000 for the top 1 percent.",federal budget;taxes,federal budget;taxes,,subject,1,genuine,tammy baldwin,"May 30, 2012",a memo to the media,train,19,,,
4851,Says the state tax burden per citizen in New York is twice as high as in Florida.,economy;taxes,economy;taxes,,subject,1,genuine,rick scott,"January 10, 2012",State of the State address,test,17,,,
9994,Georgia's share of money from the Federal Highway Trust Fund declined 12 percent between 2008 and 2013.,state budget;transportation,state budget,,subject,1,genuine,the associated press,"February 21, 2015",a newspaper article,test,17,,,
3560,"The Bush tax cuts ""created about 8 million jobs over the first 10 years that they were in existence. We've lost about 5 million of those jobs during this recession.",economy;history;jobs;taxes,economy;jobs;taxes,recession,subject_and_text,0,misleading,john boehner,"May 10, 2011","an interview on NBC's ""Today"" show",valid,30,,,
4684,"The U.S. economy ""is three times as big as China's.",china;economy,economy,,subject,1,genuine,eric cantor,"November 14, 2011",a news conference,train,10,,,
3214,We ... sold the state airplanes as I had promised.,state budget,state budget,,subject,1,genuine,rick scott,"March 8, 2011",his State of the State speech,train,10,,,
5059,We aren't the only state cutting back on public television.,education;state budget,state budget,,subject,1,genuine,richard licht,"February 5, 2012",a television interview,train,10,,,
8013,"The average fast food worker is 29, and most fast food workers ""are on some form of public assistance.",jobs;workers;punditfact,jobs;workers,,subject,1,genuine,bill maher,"October 25, 2013","comments on HBO's ""Real Time with Bill Maher""",test,19,,,
5792,Did you know Wisconsin's AFSCME union has lost 50%+ of its members since no longer requiring membership?,elections;state budget;unions,state budget,,subject,1,genuine,steve buckstein,"June 18, 2012","a tweet, online post",train,17,,,
5709,"In Galveston, Texas, they have allowed people to privatize part of their Social Security. And people are building wealth.",county government;retirement;social security;workers,social security;workers,,subject,1,genuine,e.w. jackson,"May 11, 2012",a debate,train,19,,,
4858,"Mitt Romney, Rick Perry, and Newt Gingrich all say they would cut foreign aid to Israel — and every other country — to zero.",federal budget;israel;foreign policy;message machine 2012,federal budget,,subject,0,misleading,barack obama,"January 11, 2012",a page on the Obama campaign website,train,24,,,
