split,id,binary_label,binary_label_name,statement_original,statement_cleaned,leading_says_removed
train,3854,0,misleading,"Says Wisconsin's 2011-13 state budget contains ""no fee increases","Wisconsin's 2011-13 state budget contains ""no fee increases",True
train,6585,0,misleading,"Says Gov. John Kasich incorrectly claimed Ohio's economy was 38th in the nation when he took office. ""We were sixth in the nation in terms of economic job growth.","Gov. John Kasich incorrectly claimed Ohio's economy was 38th in the nation when he took office. ""We were sixth in the nation in terms of economic job growth.",True
train,2251,0,misleading,"Says a ""Pro-Stimulus economist admits it is not working …","a ""Pro-Stimulus economist admits it is not working …",True
train,3521,0,misleading,Says he has exposed plans by Wisconsin Gov. Scott Walker to push legislation that would allow the state to declare financial martial law and take over municipal governments.,he has exposed plans by Wisconsin Gov. Scott Walker to push legislation that would allow the state to declare financial martial law and take over municipal governments.,True
train,10045,0,misleading,"Says Gov. Scott Walker's proposed budget ""would sell off Wisconsin's state parks.","Gov. Scott Walker's proposed budget ""would sell off Wisconsin's state parks.",True
train,12268,0,misleading,"Says Ron Johnson ""voted five times for tax breaks that help companies ship Wisconsin jobs overseas.","Ron Johnson ""voted five times for tax breaks that help companies ship Wisconsin jobs overseas.",True
train,6094,1,genuine,Says Paul Ryan's budget relies on the same $700 billion in savings from Medicare that Mitt Romney and other Republicans have been attacking Democrats about.,Paul Ryan's budget relies on the same $700 billion in savings from Medicare that Mitt Romney and other Republicans have been attacking Democrats about.,True
train,3121,0,misleading,"Says Wisconsin Gov. Scott Walker in his budget repair bill ""is showing that no stone goes unturned as he asks everyone to tighten their belts.","Wisconsin Gov. Scott Walker in his budget repair bill ""is showing that no stone goes unturned as he asks everyone to tighten their belts.",True
train,16939,0,misleading,"Says NC Senate leader ""expressed disdain"" for the NC House budget vote on Sept. 11.","NC Senate leader ""expressed disdain"" for the NC House budget vote on Sept. 11.",True
train,6501,0,misleading,"Says ""when I voted against [an increase in the minimum wage], it was in the 80s.","""when I voted against [an increase in the minimum wage], it was in the 80s.",True
train,18337,0,misleading,"Says Joe Biden ""wants to put a 3% annual federal tax on your home.","Joe Biden ""wants to put a 3% annual federal tax on your home.",True
train,9552,0,misleading,"Says Charlie Crist ""voted against minimum wage when he was in the Senate.","Charlie Crist ""voted against minimum wage when he was in the Senate.",True
train,18692,0,misleading,"Says Texas has ""lower taxes and less regulations than anywhere else in the U.S.","Texas has ""lower taxes and less regulations than anywhere else in the U.S.",True
train,17495,0,misleading,"Says 44 senators ""voted NOT to send stimulus checks.","44 senators ""voted NOT to send stimulus checks.",True
train,17237,0,misleading,"Says Donald Trump tweeted, ""Corona vaccine from Israel! Stock market up! Economy even stronger now! Besides US, Israel best at inventions: Judaism, olives. Wonderful vaccine, will stop Corona DEAD around world. Can't make vaccines when being bombed, not have been possible without peace I created in Israel!","Donald Trump tweeted, ""Corona vaccine from Israel! Stock market up! Economy even stronger now! Besides US, Israel best at inventions: Judaism, olives. Wonderful vaccine, will stop Corona DEAD around world. Can't make vaccines when being bombed, not have been possible without peace I created in Israel!",True
train,3480,1,genuine,"Says Paul Ryan ""voted for two wars that were unpaid for, voted for the Bush tax cuts that were unpaid for, voted for the prescription drug bill that cost as much as my health care bill -- but wasn't paid for.","Paul Ryan ""voted for two wars that were unpaid for, voted for the Bush tax cuts that were unpaid for, voted for the prescription drug bill that cost as much as my health care bill -- but wasn't paid for.",True
train,4241,1,genuine,"Says that in his book, Rick Perry said that ""Social Security is unconstitutional.","in his book, Rick Perry said that ""Social Security is unconstitutional.",True
train,2437,0,misleading,"Says Steve Kagen ""promised us jobs, voting for the $787 billion stimulus. Cost: another 77,000 jobs lost.","Steve Kagen ""promised us jobs, voting for the $787 billion stimulus. Cost: another 77,000 jobs lost.",True
train,4008,0,misleading,"Says ""over 50 percent of U.S. job growth in June came"" from Wisconsin.","""over 50 percent of U.S. job growth in June came"" from Wisconsin.",True
train,10694,0,misleading,"Says Scott Walker rejected legislation to make college loan payments tax deductible and the result was ""to raise taxes on students.","Scott Walker rejected legislation to make college loan payments tax deductible and the result was ""to raise taxes on students.",True
train,2526,0,misleading,"Says Tom Perriello voted ""to give tax breaks to foreign companies creating jobs in China.","Tom Perriello voted ""to give tax breaks to foreign companies creating jobs in China.",True
train,5775,0,misleading,"Says 97 cents of every dollar played ""represents over $500 million dollars that is returned to Oregonians every year to help support job creation, schools, state parks and watersheds.","97 cents of every dollar played ""represents over $500 million dollars that is returned to Oregonians every year to help support job creation, schools, state parks and watersheds.",True
train,4500,0,misleading,"Says state Senate President Stephen ""Sweeney gave us the nation's highest income tax rates, driving out jobs.","state Senate President Stephen ""Sweeney gave us the nation's highest income tax rates, driving out jobs.",True
train,2471,0,misleading,"Says Kurt Schrader ""cast the deciding vote that failed to extend tax cuts for Oregon's middle-class families and small businesses.","Kurt Schrader ""cast the deciding vote that failed to extend tax cuts for Oregon's middle-class families and small businesses.",True
train,3517,1,genuine,"Says although the unemployment rate seems to be improving, it does not reflect real job creation -- it's caused by a ""shrinking of the actual labor force.","although the unemployment rate seems to be improving, it does not reflect real job creation -- it's caused by a ""shrinking of the actual labor force.",True
train,15080,1,genuine,"Says Andrew Gillum ""wants to increase Florida taxes by a billion dollars.","Andrew Gillum ""wants to increase Florida taxes by a billion dollars.",True
train,12881,1,genuine,"Says Donald Trump campaigned on not cutting Medicare and Social Security, but his nominee for the Secretary of Health and Human Services, Tom Price, ""made his career on cutting Medicare and Medicaid.","Donald Trump campaigned on not cutting Medicare and Social Security, but his nominee for the Secretary of Health and Human Services, Tom Price, ""made his career on cutting Medicare and Medicaid.",True
train,4777,1,genuine,"Says America spends ""over 17 percent of its GDP on health care costs when our closest competitor nations are spending about 12.","America spends ""over 17 percent of its GDP on health care costs when our closest competitor nations are spending about 12.",True
train,7681,1,genuine,"Says Mitch McConnell pushed ""the Wall Street bailout through the U.S. Senate"" and called it ""the Senate at its finest.","Mitch McConnell pushed ""the Wall Street bailout through the U.S. Senate"" and called it ""the Senate at its finest.",True
train,9603,0,misleading,"Says Rand Paul ""has put out budgets to cut the military in half.","Rand Paul ""has put out budgets to cut the military in half.",True
train,7205,1,genuine,"Says ""a pack-a-day smoker who quits because of the tax increase will save about $1,650 a year.","""a pack-a-day smoker who quits because of the tax increase will save about $1,650 a year.",True
train,4026,0,misleading,"Says U.S. Rep. Ron Kind's ""stimulus cost taxpayers $278,000 per job.","U.S. Rep. Ron Kind's ""stimulus cost taxpayers $278,000 per job.",True
train,10738,1,genuine,"Says Donald Trump was ""forced to file for bankruptcy not once, not twice, four times.","Donald Trump was ""forced to file for bankruptcy not once, not twice, four times.",True
train,8486,1,genuine,"Says the U.S. Supreme Court found that ""Social Security is not guaranteed.","the U.S. Supreme Court found that ""Social Security is not guaranteed.",True
train,7069,1,genuine,"Says Jennifer Horn, chairwoman of the N.H. Republican Party, owes $92,000 in back taxes.","Jennifer Horn, chairwoman of the N.H. Republican Party, owes $92,000 in back taxes.",True
train,7769,0,misleading,"Says U.S. Rep. Tom Price is sending letters both supporting and opposing the ""small-business killing Internet Tax Mandate.","U.S. Rep. Tom Price is sending letters both supporting and opposing the ""small-business killing Internet Tax Mandate.",True
train,13834,0,misleading,"Says ""No, I don't benefit, I don't benefit"" from his tax proposal.","""No, I don't benefit, I don't benefit"" from his tax proposal.",True
train,727,1,genuine,"Says that under his tax plan, seniors making less than $50,000 per year won't pay any income taxes.","under his tax plan, seniors making less than $50,000 per year won't pay any income taxes.",True
train,4909,0,misleading,"Says proposal to boost teacher pension fund ""puts no mandate on local government.","proposal to boost teacher pension fund ""puts no mandate on local government.",True
train,2448,1,genuine,"Says Scott Walker ""eliminated his own office of economic development in the middle of this recession.","Scott Walker ""eliminated his own office of economic development in the middle of this recession.",True
train,5173,0,misleading,"Says ""we had to cut 13 billion dollars in state spending over two years.","""we had to cut 13 billion dollars in state spending over two years.",True
train,5764,1,genuine,"Says, ""Less than half of all states have legal protections on the basis of sexual orientation or gender identity, despite the fact that LGBT Americans report employment discrimination and unemployment at much higher rates than the U.S. average.",", ""Less than half of all states have legal protections on the basis of sexual orientation or gender identity, despite the fact that LGBT Americans report employment discrimination and unemployment at much higher rates than the U.S. average.",True
train,9191,0,misleading,"Says U.S. Senate candidate Joni Ernst signed a pledge that ""protects tax breaks for companies that ship jobs overseas.","U.S. Senate candidate Joni Ernst signed a pledge that ""protects tax breaks for companies that ship jobs overseas.",True
train,18654,0,misleading,"Says since he and President Trump took office, their policies ""led to an unemployment rate of 3.1% in Wisconsin and 61,000 Wisconsin jobs, including 15,000 manufacturing jobs.","since he and President Trump took office, their policies ""led to an unemployment rate of 3.1% in Wisconsin and 61,000 Wisconsin jobs, including 15,000 manufacturing jobs.",True
train,4294,1,genuine,Says the Panhandle has had its highest-ever bed tax collections in 2011.,the Panhandle has had its highest-ever bed tax collections in 2011.,True
train,5442,1,genuine,"Says the Congressional Budget Office has estimated ""every penny of the federal budget will go to interest on the debt and entitlement spending by 2025.","the Congressional Budget Office has estimated ""every penny of the federal budget will go to interest on the debt and entitlement spending by 2025.",True
train,6422,1,genuine,"Says the United States has the ""highest corporate tax rate in the world.","the United States has the ""highest corporate tax rate in the world.",True
train,2927,1,genuine,"Says that ""data from the Center on Budget and Policy Priorities suggest that the Texas budget gap is worse than New York's, about as bad as California's, but not quite up to New Jersey levels.","""data from the Center on Budget and Policy Priorities suggest that the Texas budget gap is worse than New York's, about as bad as California's, but not quite up to New Jersey levels.",True
train,6736,1,genuine,"Says that ""the state spends more money on tax giveaways than it receives in tax collection.","""the state spends more money on tax giveaways than it receives in tax collection.",True
train,10132,0,misleading,"Says Hillary Clinton will receive her ""congressional salary until she dies"" and the Secret Service pays her mortgage.","Hillary Clinton will receive her ""congressional salary until she dies"" and the Secret Service pays her mortgage.",True
train,3641,1,genuine,"Says he vetoed $250,000 from the budget for a program to learn how to catch rainwater.","he vetoed $250,000 from the budget for a program to learn how to catch rainwater.",True
train,5930,1,genuine,"Says federal debt ""doubled during the Bush administration.","federal debt ""doubled during the Bush administration.",True
train,6934,1,genuine,"Says ""right now, we have more military spending than the next 10, 11, 12 countries combined.","""right now, we have more military spending than the next 10, 11, 12 countries combined.",True
train,8883,0,misleading,"Says Gov. Scott Walker ""has made Wisconsin 2nd in the nation in losing jobs.","Gov. Scott Walker ""has made Wisconsin 2nd in the nation in losing jobs.",True
train,4134,1,genuine,"Says that Wall Street hedge fund managers ""pay a lower tax rate than does a sheet metal worker in Parma or a school teacher in Cleveland.","Wall Street hedge fund managers ""pay a lower tax rate than does a sheet metal worker in Parma or a school teacher in Cleveland.",True
train,7697,0,misleading,"Says that in his first two years, ""Wisconsin has seen its best two-year job growth in a decade.","in his first two years, ""Wisconsin has seen its best two-year job growth in a decade.",True
train,7954,0,misleading,"Says under President Barack Obama, the debt increased by 23 percent, which was less than under any president going back to Ronald Reagan.","under President Barack Obama, the debt increased by 23 percent, which was less than under any president going back to Ronald Reagan.",True
train,5597,0,misleading,Says Josh Mandel opposed federal loans to the auto industry.,Josh Mandel opposed federal loans to the auto industry.,True
train,6614,0,misleading,"Says Barack Obama ""sold Chrysler to Italians who are going to build Jeeps in China"" at the cost of American jobs.","Barack Obama ""sold Chrysler to Italians who are going to build Jeeps in China"" at the cost of American jobs.",True
train,5805,0,misleading,"Says, ""Yet in Salem they have traditionally waited until the money is almost gone to pay for the most important things in our state's budget.",", ""Yet in Salem they have traditionally waited until the money is almost gone to pay for the most important things in our state's budget.",True
train,3863,1,genuine,"Says the 2011-13 state budget eliminates the structural deficit ""for the first time in decades.","the 2011-13 state budget eliminates the structural deficit ""for the first time in decades.",True
train,5098,1,genuine,"Says Mitt Romney supports a plan ""to slowly and gradually raise the retirement age of Social Security.","Mitt Romney supports a plan ""to slowly and gradually raise the retirement age of Social Security.",True
train,13930,0,misleading,"Says the GOP plan he supports is ""the biggest tax cut in U.S. history.","the GOP plan he supports is ""the biggest tax cut in U.S. history.",True
train,6522,0,misleading,"Says Paul Ryan's budget plan ""ends Medicare.","Paul Ryan's budget plan ""ends Medicare.",True
train,2489,0,misleading,Says Texas voters are being asked to act this November on a proposed constitutional amendment affecting property taxes.,Texas voters are being asked to act this November on a proposed constitutional amendment affecting property taxes.,True
train,9096,1,genuine,"Says Rick Scott's per-pupil education spending is ""about $200 less"" than what it was under Charlie Crist during the recession.","Rick Scott's per-pupil education spending is ""about $200 less"" than what it was under Charlie Crist during the recession.",True
train,11895,0,misleading,"Says Hillary Clinton ""has even deleted this record of total support (for the Trans-Pacific Partnership trade agreement) from her book.","Hillary Clinton ""has even deleted this record of total support (for the Trans-Pacific Partnership trade agreement) from her book.",True
train,13111,0,misleading,"Says he presented ""a balanced budget.","he presented ""a balanced budget.",True
train,5192,0,misleading,"Says pension contributions under Gov. Chris Christie would represent ""75 percent of the total contribution made between the years 1995 and 2010. That's right, in 15 years, total state contribution was only $2.1 billion.","pension contributions under Gov. Chris Christie would represent ""75 percent of the total contribution made between the years 1995 and 2010. That's right, in 15 years, total state contribution was only $2.1 billion.",True
train,5482,0,misleading,"Says Wisconsin Gov. Scott Walker's budget ""calls for raising property taxes by nearly $500 billion.","Wisconsin Gov. Scott Walker's budget ""calls for raising property taxes by nearly $500 billion.",True
train,1700,0,misleading,"Says Gov. Rick Perry is ""spending Texans' hard-earned money to live like Louie XIV.","Gov. Rick Perry is ""spending Texans' hard-earned money to live like Louie XIV.",True
train,18156,0,misleading,"Says ""Pelosi blackmails Congress! She demands mail-in voting or no 2nd stimulus for you and your family.","""Pelosi blackmails Congress! She demands mail-in voting or no 2nd stimulus for you and your family.",True
train,2991,1,genuine,"Says that over the last decade, the state's population grew three times faster than the Texas state tax system.","over the last decade, the state's population grew three times faster than the Texas state tax system.",True
train,13101,1,genuine,"Says HB2 has hurt North Carolina's economy by ""one-tenth of 1 percent of our annual GDP.","HB2 has hurt North Carolina's economy by ""one-tenth of 1 percent of our annual GDP.",True
train,6390,0,misleading,"Says 7,000 millionaires ""gamed the system to pay no income taxes.","7,000 millionaires ""gamed the system to pay no income taxes.",True
train,7220,1,genuine,"Says Texas ranks 49th nationally in ""what we are doing to support our per-pupil investment in education in the state.","Texas ranks 49th nationally in ""what we are doing to support our per-pupil investment in education in the state.",True
train,11998,1,genuine,"Says middle-class New York State residents will have the ""lowest tax rate in 70 years.","middle-class New York State residents will have the ""lowest tax rate in 70 years.",True
train,3247,1,genuine,"Says that President Obama said in 2008 that his proposed greenhouse gas regulations ""will bankrupt"" anyone who wants to build a new coal-fired power plant.","President Obama said in 2008 that his proposed greenhouse gas regulations ""will bankrupt"" anyone who wants to build a new coal-fired power plant.",True
train,5582,1,genuine,Says George LeMieux was one of two Republicans who voted for President Barack Obama's jobs bill.,George LeMieux was one of two Republicans who voted for President Barack Obama's jobs bill.,True
train,3947,0,misleading,"Says a new report proves the stimulus supported by N.J. Democrats cost $278,000 per job.","a new report proves the stimulus supported by N.J. Democrats cost $278,000 per job.",True
train,4303,0,misleading,"Says Rick Perry is ""spending more money than the state takes in, covering his deficits with record borrowing.","Rick Perry is ""spending more money than the state takes in, covering his deficits with record borrowing.",True
train,4609,0,misleading,"Says unemployment in Ohio ""is significantly higher than the unemployment rate in states which are not forced union states and it's always been that way.","unemployment in Ohio ""is significantly higher than the unemployment rate in states which are not forced union states and it's always been that way.",True
train,11970,1,genuine,"Says Donald Trump has ""bankrupt four separate businesses.","Donald Trump has ""bankrupt four separate businesses.",True
train,9373,1,genuine,"Says Glenn Grothman pushed through state tax credits that when phased in, ""someone that owns a factory that produces millions in income"" will pay ""less tax than their nephew would if he worked full time at Taco Bell for minimum wage.","Glenn Grothman pushed through state tax credits that when phased in, ""someone that owns a factory that produces millions in income"" will pay ""less tax than their nephew would if he worked full time at Taco Bell for minimum wage.",True
train,2369,0,misleading,Says Will Rasmussen supported a sales tax as recently as last spring.,Will Rasmussen supported a sales tax as recently as last spring.,True
train,10912,0,misleading,Says his plan would cut taxes without increasing the deficit.,his plan would cut taxes without increasing the deficit.,True
train,6344,0,misleading,"Says ""the governor is going around the state talking about [how] we should fund an income tax cut"" that benefits higher income earners and not lower income earners","""the governor is going around the state talking about [how] we should fund an income tax cut"" that benefits higher income earners and not lower income earners",True
train,6356,0,misleading,"Says ""One of the state's largest governments made charging this tax one of their top priorities just this year.","""One of the state's largest governments made charging this tax one of their top priorities just this year.",True
train,10946,1,genuine,"Says Marco Rubio is proposing a new $1 trillion ""welfare program"" in tax credits and ""$1 trillion in new military spending.","Marco Rubio is proposing a new $1 trillion ""welfare program"" in tax credits and ""$1 trillion in new military spending.",True
train,7513,1,genuine,Says student loan interest rates will double from 3.4 percent to 6.8 percent July 1.,student loan interest rates will double from 3.4 percent to 6.8 percent July 1.,True
train,5664,0,misleading,"Says Gov. Scott Walker ""took away $1.6 billion from schools and handed it off as over $2 billion in tax breaks to the rich.","Gov. Scott Walker ""took away $1.6 billion from schools and handed it off as over $2 billion in tax breaks to the rich.",True
train,6239,1,genuine,"Says Charlie Crist ""was pro-life, pro-gun and vehemently anti-tax.","Charlie Crist ""was pro-life, pro-gun and vehemently anti-tax.",True
train,13317,0,misleading,"Says President Donald Trump ""has given more financial disclosure than anybody else.","President Donald Trump ""has given more financial disclosure than anybody else.",True
train,4381,0,misleading,Says Bill Clinton opposes President Barack Obama's plan to raise taxes on wealthy Americans.,Bill Clinton opposes President Barack Obama's plan to raise taxes on wealthy Americans.,True
train,5919,0,misleading,"Says ""the money is in the budget"" to give a tax break to ""everyone,"" including people making more than $1 million.","""the money is in the budget"" to give a tax break to ""everyone,"" including people making more than $1 million.",True
train,4061,1,genuine,"Says Texas has ""the fourth-lowest debt per capita of any state in the nation, and we are the lowest of any of the big states.","Texas has ""the fourth-lowest debt per capita of any state in the nation, and we are the lowest of any of the big states.",True
train,3769,1,genuine,Says the state budget includes spending on commercials for Fortune 500 companies.,the state budget includes spending on commercials for Fortune 500 companies.,True
train,2558,0,misleading,"Says state Senate candidate ""Monk Elmer voted to exceed the (school district property tax) spending caps.","state Senate candidate ""Monk Elmer voted to exceed the (school district property tax) spending caps.",True
train,4542,0,misleading,"Says that under his tax plan, ""no matter where you are in the stratosphere, you're going to be getting a tax cut.","under his tax plan, ""no matter where you are in the stratosphere, you're going to be getting a tax cut.",True
train,5316,0,misleading,"Says ""for the duration of this recession not a single person in government middle management has lost (a) job or taken a pay cut.","""for the duration of this recession not a single person in government middle management has lost (a) job or taken a pay cut.",True
train,4951,1,genuine,"Says Wisconsin Democrats during the previous administration adopted ""double-digit tax increases.","Wisconsin Democrats during the previous administration adopted ""double-digit tax increases.",True
train,14052,0,misleading,"Says the tax bill ""is going to cost me a fortune, this thing -- believe me. Believe me, this is not good for me.","the tax bill ""is going to cost me a fortune, this thing -- believe me. Believe me, this is not good for me.",True
train,12272,0,misleading,"Says Hillary Clinton ""wants to raise taxes on African-American owned businesses to as much as nearly 50 percent more than they're paying now.","Hillary Clinton ""wants to raise taxes on African-American owned businesses to as much as nearly 50 percent more than they're paying now.",True
train,2747,1,genuine,"Says more than $3.5 billion in state revenue that is supposed to be dedicated to basic needs and functions is being diverted to ""make the books look balanced.","more than $3.5 billion in state revenue that is supposed to be dedicated to basic needs and functions is being diverted to ""make the books look balanced.",True
train,7568,1,genuine,"Says ""excise taxes are...disproportionately burdening middle- and lower-income consumers.","""excise taxes are...disproportionately burdening middle- and lower-income consumers.",True
train,13406,0,misleading,"Says Texas tax legislation would ""save the average homeowner in Texas $20,000 a year over the next 20 years or so.","Texas tax legislation would ""save the average homeowner in Texas $20,000 a year over the next 20 years or so.",True
train,9576,0,misleading,"Says high-speed rail would have created 60,000 jobs.","high-speed rail would have created 60,000 jobs.",True
train,5914,1,genuine,"Says Mitt Romney had millions in the Cayman Islands, a tax haven.","Mitt Romney had millions in the Cayman Islands, a tax haven.",True
train,3548,0,misleading,"Says President Barack Obama's debt commission recommended converting Medicare ""to a system where Medicare participants are given a voucher to purchase insurance in the private market.","President Barack Obama's debt commission recommended converting Medicare ""to a system where Medicare participants are given a voucher to purchase insurance in the private market.",True
train,5945,1,genuine,Says New Hampshire has the third-highest property tax in the country.,New Hampshire has the third-highest property tax in the country.,True
train,16104,0,misleading,"Says when New York ""implemented a program"" to tax the wealthy at higher rates it saw a revenue shortfall ""because of the outward migration of their top earners.","when New York ""implemented a program"" to tax the wealthy at higher rates it saw a revenue shortfall ""because of the outward migration of their top earners.",True
train,16570,0,misleading,"Says Nancy Pelosi diverted ""$2.4 billion from Social Security to cover impeachment costs.","Nancy Pelosi diverted ""$2.4 billion from Social Security to cover impeachment costs.",True
train,5621,1,genuine,"Says Mitt Romney is wrong to claim that spending under Obama has ""accelerated at a pace without precedent in recent history,"" because it's actually risen ""slower than at any time in nearly 60 years.","Mitt Romney is wrong to claim that spending under Obama has ""accelerated at a pace without precedent in recent history,"" because it's actually risen ""slower than at any time in nearly 60 years.",True
train,4669,1,genuine,Says Barack Obama promised to halve the deficit in his first term.,Barack Obama promised to halve the deficit in his first term.,True
train,4623,1,genuine,"Says Apple CEO Steve Jobs told President Obama that the company moved factories to China because it needed 30,000 engineers.","Apple CEO Steve Jobs told President Obama that the company moved factories to China because it needed 30,000 engineers.",True
train,5581,0,misleading,"Says President Barack Obama's finance team is recommending a ""1% tax on all transactions at any financial institution.","President Barack Obama's finance team is recommending a ""1% tax on all transactions at any financial institution.",True
train,5204,1,genuine,"Says Barack Obama ""promised he would cut the deficit in half"" but didn't.","Barack Obama ""promised he would cut the deficit in half"" but didn't.",True
train,5936,0,misleading,Says stimulus money went to buy electric cars from Finland as a payback to Obama supporters.,stimulus money went to buy electric cars from Finland as a payback to Obama supporters.,True
train,7633,0,misleading,"Says Oregon's political tax credit is something ""every state should have and no other state does.","Oregon's political tax credit is something ""every state should have and no other state does.",True
train,6892,1,genuine,"Says ""the area damaged by Hurricane Sandy represents roughly 10 percent of our nation's economy.","""the area damaged by Hurricane Sandy represents roughly 10 percent of our nation's economy.",True
train,16994,0,misleading,"Says the Democratic Party ""took Social Security from the independent 'Trust Fund' and put it into the general fund so that Congress could spend it"" and ""eliminated the income tax deduction for Social Security (FICA) withholding.","the Democratic Party ""took Social Security from the independent 'Trust Fund' and put it into the general fund so that Congress could spend it"" and ""eliminated the income tax deduction for Social Security (FICA) withholding.",True
train,12075,1,genuine,"Says Donald Trump ""believes that states should actually have the right to lower the minimum wage below $7.25.","Donald Trump ""believes that states should actually have the right to lower the minimum wage below $7.25.",True
train,7039,0,misleading,Says Gov. Rick Scott cut more government jobs than were created in the private sector in Florida in 2012.,Gov. Rick Scott cut more government jobs than were created in the private sector in Florida in 2012.,True
train,6673,0,misleading,"Says that with President Obama's re-election, state and federal income tax rates for some taxpayers will rise ""to roughly 65 percent.","with President Obama's re-election, state and federal income tax rates for some taxpayers will rise ""to roughly 65 percent.",True
train,3489,0,misleading,Says stories about his birth certificate drowned out media coverage of the Republican and White House budget plans the week of April 11.,stories about his birth certificate drowned out media coverage of the Republican and White House budget plans the week of April 11.,True
train,15115,0,misleading,"Says ""J.B. Pritzker's tax plan"" includes a ""new tax per mile you drive with government tracking device.","""J.B. Pritzker's tax plan"" includes a ""new tax per mile you drive with government tracking device.",True
train,17894,0,misleading,"Says Alexandria Ocasio-Cortez tweeted, ""It's vital that Governors maintain restrictions on businesses until after the November Elections because economic recovery will help Trump be re-elected. A few business closures or job losses is a small price to pay to be free from his presidency. #KeepUsClosed.","Alexandria Ocasio-Cortez tweeted, ""It's vital that Governors maintain restrictions on businesses until after the November Elections because economic recovery will help Trump be re-elected. A few business closures or job losses is a small price to pay to be free from his presidency. #KeepUsClosed.",True
train,5757,0,misleading,"Says President Barack Obama wants to raise ""the lowest (income) tax rate from 10 to 15 percent.","President Barack Obama wants to raise ""the lowest (income) tax rate from 10 to 15 percent.",True
train,6006,1,genuine,Says Milken Institute rated San Antonio as nation's top-performing local economy.,Milken Institute rated San Antonio as nation's top-performing local economy.,True
train,2985,1,genuine,"Says the United States does not ""trade as much as other developed nations.","the United States does not ""trade as much as other developed nations.",True
train,2277,0,misleading,"Says Bill White ""didn't pay taxes while earning $133,600 annual salary as deputy secretary of energy.","Bill White ""didn't pay taxes while earning $133,600 annual salary as deputy secretary of energy.",True
train,5198,1,genuine,"Says the proposed fiscal year 2013 budget ""is still below the level of state spending when I took office.","the proposed fiscal year 2013 budget ""is still below the level of state spending when I took office.",True
