matched_pair_id,pair_source,pair_role,claim,pure_binary_label,original_verdict,normalised_rating,financial_matches,word_count,pair_has_shared_concept,pair_shared_concept_count,pair_concept_jaccard,pair_word_difference,date_published,url,claim_id,row_id,finance_relevant,label_valid,standalone_claim,no_editorial_framing,keep,audit_notes,automatic_editorial_flag,automatic_long_claim_flag,automatic_large_pair_length_gap,automatic_no_shared_concept,row_risk_score,audit_priority,audit_chunk_file,claim_normalised_check,exact_liar2_overlap_check
grass_fact_check_024,Grass Fact Check,genuine,Wine export in 2017 was quite voluminous and exceeded 76 million bottles,genuine,true,True,['trade'],12,False,0,0.0,0,2018-07-30T00:00:00,https://factcheck.ge/en/story/36698-wine-export-in-2017-was-quite-voluminous-and-exceeded-76-million-bottles,43880,44052,yes,yes,yes,yes,yes,Passed all audit criteria.,False,False,False,True,2,28,factors_audit_chunk_01_completed.csv,wine export in 2017 was quite voluminous and exceeded 76 million bottles,False
grass_fact_check_024,Grass Fact Check,misleading,"The increase in investment, including its ratio to the GDP, is unprecedented.",misleading,false,False,['macroeconomy'],12,False,0,0.0,0,2024-10-14T00:00:00,https://factcheck.ge/en/story/43269-the-increase-in-investment-including-its-ratio-to-the-gdp-is-unprecedented,44422,44599,yes,yes,yes,yes,yes,Passed all audit criteria.,False,False,False,True,2,28,factors_audit_chunk_01_completed.csv,the increase in investment including its ratio to the gdp is unprecedented,False
grass_fact_check_025,Grass Fact Check,genuine,"""In 2022, revenues from export, tourism and remittances trebled to USD 3.6 billion.""",genuine,true,True,"['company_finance', 'trade']",13,False,0,0.0,0,2023-07-03T00:00:00,https://factcheck.ge/en/story/42021--in-2022-revenues-from-export-tourism-and-remittances-from-to-russia-trebled-to-usd-3-6-billion,44282,44457,yes,yes,yes,yes,yes,Passed all audit criteria.,False,False,False,True,2,29,factors_audit_chunk_01_completed.csv,in 2022 revenues from export tourism and remittances trebled to usd 3 6 billion,False
grass_fact_check_025,Grass Fact Check,misleading,"""The real purchasing power of pensions has decreased over the past 12 years.""",misleading,lie,False,['pension'],13,False,0,0.0,0,2024-03-11T00:00:00,https://factcheck.ge/en/story/42665--the-real-purchasing-power-of-pensions-has-decreased-over-the-past-12-years,44458,44635,yes,yes,yes,yes,yes,Passed all audit criteria.,False,False,False,True,2,29,factors_audit_chunk_01_completed.csv,the real purchasing power of pensions has decreased over the past 12 years,False
politifact_198,PolitiFact,genuine,"Wisconsin is ""dead last in income growth"" among midwestern states during Gov. Scott Walker's term.",genuine,true,True,['income'],15,False,0,0.0,0,2014-08-28T00:00:00,https://www.politifact.com/factchecks/2014/aug/28/blog-posting/bloggers-say-wisconsin-ranks-last-income-growth-/,66066,68563,yes,yes,yes,yes,yes,Passed all audit criteria.,False,False,False,True,2,31,factors_audit_chunk_01_completed.csv,wisconsin is dead last in income growth among midwestern states during gov scott walker s term,False
politifact_198,PolitiFact,misleading,"Says Maine Democrat Jared Golden ""supports using your Social Security to fund other government programs.""",misleading,pants-fire,False,['pension'],15,False,0,0.0,0,2018-11-02T00:00:00,https://www.politifact.com/factchecks/2018/nov/02/national-republican-congressional-committee/nrcc-ad-way-saying-jared-golden-wants-take-away-so/,62434,64899,yes,yes,yes,yes,yes,Passed all audit criteria.,False,False,False,True,2,31,factors_audit_chunk_01_completed.csv,says maine democrat jared golden supports using your social security to fund other government programs,False
politifact_199,PolitiFact,genuine,"Say that under state law, ""systems development charges can only be spent on capital investment.""",genuine,true,True,['investment'],15,False,0,0.0,0,2012-05-05T00:00:00,https://www.politifact.com/factchecks/2012/may/05/charlie-hales/can-system-development-charges-be-spent-capital-pr/,68526,71027,yes,yes,yes,yes,yes,Passed all audit criteria.,False,False,False,True,2,32,factors_audit_chunk_01_completed.csv,say that under state law systems development charges can only be spent on capital investment,False
politifact_199,PolitiFact,misleading,"Says Wisconsin Gov. Scott Walker's budget ""calls for raising property taxes by nearly $500 billion.""",misleading,pants-fire,False,"['tax', 'budget']",15,False,0,0.0,0,2012-04-30T00:00:00,https://www.politifact.com/factchecks/2012/apr/30/pat-quinn/illinois-gov-pat-quinn-says-gov-scott-walkers-budg/,68545,71046,yes,yes,yes,yes,yes,Passed all audit criteria.,False,False,False,True,2,32,factors_audit_chunk_01_completed.csv,says wisconsin gov scott walker s budget calls for raising property taxes by nearly 500 billion,False
politifact_200,PolitiFact,genuine,"""There will be several thousand dollars in payments going to families with six-figure incomes who've had no income interruption whatsoever.""",genuine,true,True,['income'],20,False,0,0.0,0,2021-01-21T00:00:00,https://www.politifact.com/factchecks/2021/jan/21/pat-toomey/fact-checking-pat-toomeys-claim-families-six-figur/,75574,78166,yes,yes,yes,yes,yes,Passed all audit criteria.,False,False,False,True,2,33,factors_audit_chunk_01_completed.csv,there will be several thousand dollars in payments going to families with six figure incomes who ve had no income interruption whatsoever,False
politifact_200,PolitiFact,misleading,"""The President of Ukraine owns a $35 million home in Florida and has $1.2 billion in a overseas bank account.""",misleading,false,False,['banking'],20,False,0,0.0,0,2022-05-02T00:00:00,https://www.politifact.com/factchecks/2022/may/02/facebook-posts/no-proof-ukraine-president-zelenskyy-owns-35-milli/,59789,62116,yes,yes,yes,yes,yes,Passed all audit criteria.,False,False,False,True,2,33,factors_audit_chunk_01_completed.csv,the president of ukraine owns a 35 million home in florida and has 1 2 billion in a overseas bank account,False
snopes_079,Snopes,genuine,Missouri Republicans passed a bill to lower the minimum wage in St. Louis from $10 an hour to $7.70.,genuine,true,True,['employment'],19,False,0,0.0,0,2018-07-25T13:05:56,https://www.snopes.com/fact-check/missouri-republicans-pass-law-lowering-minimum-wage/,90373,93722,yes,yes,yes,yes,yes,Passed all audit criteria.,False,False,False,True,2,35,factors_audit_chunk_01_completed.csv,missouri republicans passed a bill to lower the minimum wage in st louis from 10 an hour to 7 70,False
snopes_079,Snopes,misleading,Tax reform plans proposed by House and Senate Republicans in November 2017 would remove the deduction for employee discounts.,misleading,false,False,['tax'],19,False,0,0.0,0,2017-11-29T12:19:44,https://www.snopes.com/fact-check/tax-plan-employee-discounts/,91320,94692,yes,yes,yes,yes,yes,Passed all audit criteria.,False,False,False,True,2,35,factors_audit_chunk_01_completed.csv,tax reform plans proposed by house and senate republicans in november 2017 would remove the deduction for employee discounts,False
politifact_169,PolitiFact,genuine,"""Women in Oregon are paid 79 cents for every dollar paid to men. If the wage gap was eliminated, a working woman in Oregon would have enough money for 2,877 gallons of gas, 72 more weeks of food for her family or nearly 12 more months of rent.""",genuine,true,True,['employment'],48,True,1,1.0,8,2014-04-10T00:00:00,https://www.politifact.com/factchecks/2014/apr/10/national-partnership-women-families/would-eliminating-pay-gap-oregon-let-women-buy-287/,66499,68996,yes,yes,yes,yes,yes,Passed all audit criteria.,False,True,False,False,1,40,factors_audit_chunk_01_completed.csv,women in oregon are paid 79 cents for every dollar paid to men if the wage gap was eliminated a working woman in oregon would have enough money for 2 877 gallons of gas 72 more weeks of food for her family or nearly 12 more months of rent,False
politifact_169,PolitiFact,misleading,"Says Oregon's high minimum wage is the reason why ""by 2011, Oregon's restaurants employed an average of only 13.8 workers, or 2.6 fewer employees than they did before the state's minimum wage began rising above the federal level in 1997.""",misleading,false,False,['employment'],40,True,1,1.0,8,2013-04-13T00:00:00,https://www.politifact.com/factchecks/2013/apr/13/melvin-sickler/has-oregons-higher-minimum-wage-hurt-our-restauran/,67467,69965,yes,yes,yes,yes,yes,Passed all audit criteria.,False,False,False,False,0,40,factors_audit_chunk_01_completed.csv,says oregon s high minimum wage is the reason why by 2011 oregon s restaurants employed an average of only 13 8 workers or 2 6 fewer employees than they did before the state s minimum wage began rising above the federal level in 1997,False
politifact_189,PolitiFact,genuine,"""In Rhode Island today, 25 percent of our households either don't have a bank account at all, or they have a bank account and they're still relying on high-cost financial services like payday loans, pawn shop check cashing and so on.""",genuine,true,True,"['loan', 'banking']",41,True,1,0.5,7,2014-04-21T00:00:00,https://www.politifact.com/factchecks/2014/apr/21/seth-magaziner/treasurer-candidate-seth-magaziner-says-1-4-rhode-/,71509,74010,yes,yes,yes,yes,yes,Passed all audit criteria.,False,True,False,False,1,41,factors_audit_chunk_01_completed.csv,in rhode island today 25 percent of our households either don t have a bank account at all or they have a bank account and they re still relying on high cost financial services like payday loans pawn shop check cashing and so on,False
politifact_189,PolitiFact,misleading,"""U.S. Department of Homeland Security has told banks -- in writing -- it may inspect safe deposit boxes without warrant and seize any gold, silver, guns or other valuables it finds inside those boxes!""",misleading,pants-fire,False,['banking'],34,True,1,0.5,7,2013-07-26T00:00:00,https://www.politifact.com/factchecks/2013/jul/26/chain-email/homeland-security-can-seize-safe-deposit-boxes-wit/,67167,69664,yes,yes,yes,yes,yes,Passed all audit criteria.,False,False,False,False,0,41,factors_audit_chunk_01_completed.csv,u s department of homeland security has told banks in writing it may inspect safe deposit boxes without warrant and seize any gold silver guns or other valuables it finds inside those boxes,False
politifact_173,PolitiFact,genuine,"""The Senate has not passed a budget in more than three years, not a good budget, not a bad budget, no budget.""",genuine,true,True,['budget'],22,True,1,1.0,10,2012-09-12T00:00:00,https://www.politifact.com/factchecks/2012/sep/12/leonard-lance/congressman-leonard-lance-claims-us-senate-has-not/,68071,70571,yes,yes,yes,yes,yes,Passed all audit criteria.,False,False,False,False,0,47,factors_audit_chunk_01_completed.csv,the senate has not passed a budget in more than three years not a good budget not a bad budget no budget,False
politifact_173,PolitiFact,misleading,"""Obama admin gutted @ProjChildSafe budget to provide trigger locks and safety kits.""",misleading,false,False,['budget'],12,True,1,1.0,10,2014-09-08T00:00:00,https://www.politifact.com/factchecks/2014/sep/08/dana-loesch/loesch-obama-slashed-funding-gun-safety-program/,71682,74184,yes,yes,yes,yes,yes,Passed all audit criteria.,False,False,False,False,0,47,factors_audit_chunk_01_completed.csv,obama admin gutted projchildsafe budget to provide trigger locks and safety kits,False
politifact_174,PolitiFact,genuine,"Farm bankruptcies are ""at an eight-year high.""",genuine,true,True,['financial_distress'],7,True,1,1.0,10,2020-10-31T00:00:00,https://www.politifact.com/factchecks/2020/oct/31/theresa-greenfield/fact-check-farm-bankruptcies-highest-8-years/,75383,77973,yes,yes,yes,yes,yes,Passed all audit criteria.,False,False,False,False,0,48,factors_audit_chunk_01_completed.csv,farm bankruptcies are at an eight year high,False
politifact_174,PolitiFact,misleading,"Says U.S. Senate rival Tommy Thompson ran Medicare ""into the ground"" and ""nine years closer to bankruptcy.""",misleading,false,False,['financial_distress'],17,True,1,1.0,10,2012-10-26T00:00:00,https://www.politifact.com/factchecks/2012/oct/26/tammy-baldwin/tommy-thompson-ran-medicare-ground-us-health-and-h/,67865,70364,yes,yes,yes,yes,yes,Passed all audit criteria.,False,False,False,False,0,48,factors_audit_chunk_01_completed.csv,says u s senate rival tommy thompson ran medicare into the ground and nine years closer to bankruptcy,False
snopes_004,Snopes,genuine,"Guidelines published by the IRS ahead of the 2022 tax year explained how taxpayers can claim items they have stolen, or earnings from illegal activities.",genuine,true,True,"['tax', 'company_finance']",25,True,2,0.5,10,2021-12-30T11:25:00,https://www.snopes.com/fact-check/irs-taxpayers-stolen-items-illegal-income/,85353,88510,yes,yes,yes,yes,yes,,False,False,False,False,0,50,factors_audit_chunk_02_completed.csv,guidelines published by the irs ahead of the 2022 tax year explained how taxpayers can claim items they have stolen or earnings from illegal activities,False
snopes_004,Snopes,misleading,Nancy Pelosi advocated implementing a 100% windfall tax on stock market profits and retirement income.,misleading,false,False,"['tax', 'income', 'markets', 'company_finance']",15,True,2,0.5,10,2006-12-01T00:00:00,https://www.snopes.com/fact-check/windfall-profits-tax/,97478,100943,yes,yes,yes,yes,yes,,False,False,False,False,0,50,factors_audit_chunk_02_completed.csv,nancy pelosi advocated implementing a 100 windfall tax on stock market profits and retirement income,False
politifact_013,PolitiFact,genuine,Says income tax rates under Eisenhower were as high as 90 percent.,genuine,true,True,"['tax', 'income']",12,True,2,1.0,9,2015-11-15T00:00:00,https://www.politifact.com/factchecks/2015/nov/15/bernie-sanders/income-tax-rates-were-90-percent-under-eisenhower-/,72212,74716,yes,yes,yes,yes,yes,,False,False,False,False,0,51,factors_audit_chunk_02_completed.csv,says income tax rates under eisenhower were as high as 90 percent,False
politifact_013,PolitiFact,misleading,"Says that after ""the last income tax increase in the state of Illinois, we saw the largest exodus of middle-income families.""",misleading,false,False,"['tax', 'income']",21,True,2,1.0,9,2019-06-23T00:00:00,https://www.politifact.com/factchecks/2019/jun/23/bill-brady/fact-checking-bradys-muddled-attack-pritzkers-tax-/,61992,64424,yes,yes,yes,yes,yes,,False,False,False,False,0,51,factors_audit_chunk_02_completed.csv,says that after the last income tax increase in the state of illinois we saw the largest exodus of middle income families,False
politifact_171,PolitiFact,genuine,The state budget will include scholarship money for minority students as a concession to Senate Democrats for supporting the GOP-initiated transportation bill.,genuine,true,True,['budget'],22,True,1,1.0,9,2015-05-13T00:00:00,https://www.politifact.com/factchecks/2015/may/13/senate-democrats/Democrats-parlay-votes-on-transportation-bill-into/,65427,67921,yes,yes,yes,yes,yes,,False,False,False,False,0,52,factors_audit_chunk_02_completed.csv,the state budget will include scholarship money for minority students as a concession to senate democrats for supporting the gop initiated transportation bill,False
politifact_171,PolitiFact,misleading,"""The proposed House budget cuts hundreds of millions in funding for public education…""",misleading,false,False,['budget'],13,True,1,1.0,9,2022-04-12T00:00:00,https://www.politifact.com/factchecks/2022/apr/12/democratic-party-virginia/no-virginias-house-did-not-vote-cut-school-funding/,76573,79215,yes,yes,yes,yes,yes,,False,False,False,False,0,52,factors_audit_chunk_02_completed.csv,the proposed house budget cuts hundreds of millions in funding for public education,False
politifact_190,PolitiFact,genuine,"""Higher education is one of America's strongest export sectors. Over 1 million international students studied at American universities, 2018-19 school year. They contributed over $40 billion to the economy.""",genuine,true,True,"['macroeconomy', 'trade']",29,True,1,0.5,9,2020-07-10T00:00:00,https://www.politifact.com/factchecks/2020/jul/10/chris-hayes/msnbcs-chris-hayes-right-economic-impact-internati/,61211,63602,yes,yes,yes,yes,yes,,False,False,False,False,0,53,factors_audit_chunk_02_completed.csv,higher education is one of america s strongest export sectors over 1 million international students studied at american universities 2018 19 school year they contributed over 40 billion to the economy,False
politifact_190,PolitiFact,misleading,"""National studies are already showing the negative effects that the health care law is having on businesses and our economy. Businesses across the country are raising their prices … cutting jobs as a result of the added cost.""",misleading,false,False,['macroeconomy'],38,True,1,0.5,9,2012-11-30T00:00:00,https://www.politifact.com/factchecks/2012/nov/30/pam-bondi/pam-bondi-said-national-studies-show-businesses-ar/,67788,70287,yes,yes,yes,yes,yes,,False,False,False,False,0,53,factors_audit_chunk_02_completed.csv,national studies are already showing the negative effects that the health care law is having on businesses and our economy businesses across the country are raising their prices cutting jobs as a result of the added cost,False
grass_fact_check_002,Grass Fact Check,genuine,2017 is the first year when part of the trade deficit was covered by the sum of tourism and direct investments,genuine,true,True,"['deficit', 'trade']",21,True,2,1.0,8,2019-02-07T00:00:00,https://factcheck.ge/en/story/37964-2017-is-the-first-year-when-part-of-the-trade-deficit-was-covered-by-the-sum-of-tourism-and-direct-investments,43707,43879,yes,yes,yes,yes,yes,,False,False,False,False,0,56,factors_audit_chunk_02_completed.csv,2017 is the first year when part of the trade deficit was covered by the sum of tourism and direct investments,False
grass_fact_check_002,Grass Fact Check,misleading,"""Import dependency has decreased. In 2019, the trade deficit was at a historic low and our trade balance showed a maximal improvement because export had increased significantly by 12%""",misleading,false,False,"['deficit', 'trade']",29,True,2,1.0,8,2020-06-22T00:00:00,https://factcheck.ge/en/story/38502--import-dependency-has-decreased-in-2019-the-trade-deficit-was-at-a-historic-low-and-our-trade-balance-showed-a-maximal-improvement-because-export-had-increased-significantly-by-12,43997,44169,yes,yes,yes,yes,yes,,False,False,False,False,0,56,factors_audit_chunk_02_completed.csv,import dependency has decreased in 2019 the trade deficit was at a historic low and our trade balance showed a maximal improvement because export had increased significantly by 12,False
politifact_170,PolitiFact,genuine,"""I ended up my time as governor with a general fund budget that was smaller than the one I started with.""",genuine,true,True,['budget'],21,True,1,1.0,8,2012-07-27T00:00:00,https://www.politifact.com/factchecks/2012/jul/27/tim-kaine/tim-kaine-says-general-fund-budget-shrank-when-he-/,70645,73146,yes,yes,yes,yes,yes,,False,False,False,False,0,57,factors_audit_chunk_02_completed.csv,i ended up my time as governor with a general fund budget that was smaller than the one i started with,False
politifact_170,PolitiFact,misleading,"Says library district would come ""at no direct cost to the city budget.""",misleading,false,False,['budget'],13,True,1,1.0,8,2012-08-10T00:00:00,https://www.politifact.com/factchecks/2012/aug/10/multnomah-county-library-foundation/would-library-taxing-district-reduce-portlands-bud/,70671,73172,yes,yes,yes,yes,yes,,False,False,False,False,0,57,factors_audit_chunk_02_completed.csv,says library district would come at no direct cost to the city budget,False
politifact_012,PolitiFact,genuine,"Wisconsin's 2019-21 budget produced the first positive general fund balance since 2000, and the governor's proposed 2021-23 budget would return it to a deficit.",genuine,true,True,"['budget', 'deficit']",24,True,2,1.0,7,2021-05-25T00:00:00,https://www.politifact.com/factchecks/2021/may/25/wisconsin-republican-legislative-leaders/yes-evers-proposed-budget-would-return-states-gene/,75866,78468,yes,yes,yes,yes,yes,,False,False,False,False,0,60,factors_audit_chunk_02_completed.csv,wisconsin s 2019 21 budget produced the first positive general fund balance since 2000 and the governor s proposed 2021 23 budget would return it to a deficit,False
politifact_012,PolitiFact,misleading,"Says Democrats racked up a $1 billion state deficit, while Republicans under Bill O'Brien balanced the budget.",misleading,false,False,"['budget', 'deficit']",17,True,2,1.0,7,2012-07-29T00:00:00,https://www.politifact.com/factchecks/2012/jul/29/new-boston-republican-committee/new-boston-gop-says-dems-left-deficit/,70651,73152,yes,yes,yes,yes,yes,,False,False,False,False,0,60,factors_audit_chunk_02_completed.csv,says democrats racked up a 1 billion state deficit while republicans under bill o brien balanced the budget,False
politifact_168,PolitiFact,genuine,"""Ohio's laws are now the worst in the nation. Things have gotten so bad that it is legal to charge 594 percent interest on loans.""",genuine,true,True,['loan'],25,True,1,1.0,7,2018-06-08T00:00:00,https://www.politifact.com/factchecks/2018/jun/08/richard-cordray/richard-cordray-says-ohio-payday-lending-law-worst/,73591,76105,yes,yes,yes,yes,yes,,False,False,False,False,0,61,factors_audit_chunk_02_completed.csv,ohio s laws are now the worst in the nation things have gotten so bad that it is legal to charge 594 percent interest on loans,False
politifact_168,PolitiFact,misleading,"Elon Musk tweeted, ""The fact that an 18 year old can't take out a $10,000 business loan"" but ""can take out a $100,000 student loan tells you everything you need to know.""",misleading,false,False,['loan'],32,True,1,1.0,7,2022-04-29T00:00:00,https://www.politifact.com/factchecks/2022/apr/29/facebook-posts/no-trace-elon-musk-tweeting-about-twisted-logic-lo/,76622,79266,yes,yes,yes,yes,yes,,False,False,False,False,0,61,factors_audit_chunk_02_completed.csv,elon musk tweeted the fact that an 18 year old can t take out a 10 000 business loan but can take out a 100 000 student loan tells you everything you need to know,False
snopes_066,Snopes,genuine,"The COVID-19 stimulus package signed into law by President Joe Biden in March 2021 increases payments for recipients of the Child Tax Credit, and families can receive a portion of that credit in monthly installments.",genuine,true,True,['tax'],35,True,1,1.0,7,2021-05-18T08:58:32,https://www.snopes.com/fact-check/expanded-child-tax-credit-2021/,86162,89342,yes,yes,yes,yes,yes,,False,False,False,False,0,62,factors_audit_chunk_02_completed.csv,the covid 19 stimulus package signed into law by president joe biden in march 2021 increases payments for recipients of the child tax credit and families can receive a portion of that credit in monthly installments,False
snopes_066,Snopes,misleading,"Under the 2017 tax overhaul legislation currently making its way through Congress, all deductions for business-related expenses incurred by small business owners and the self-employed would be eliminated.",misleading,false,False,['tax'],28,True,1,1.0,7,2017-12-04T13:29:13,https://www.snopes.com/fact-check/tax-bill-small-business-deductions/,91301,94673,yes,yes,yes,yes,yes,,False,False,False,False,0,62,factors_audit_chunk_02_completed.csv,under the 2017 tax overhaul legislation currently making its way through congress all deductions for business related expenses incurred by small business owners and the self employed would be eliminated,False
politifact_011,PolitiFact,genuine,"Says the proposed fiscal year 2013 budget ""is still below the level of state spending when I took office.""",genuine,true,True,"['budget', 'public_spending']",19,True,2,1.0,6,2012-03-08T00:00:00,https://www.politifact.com/factchecks/2012/mar/08/chris-christie/chris-christie-claims-proposed-budget-smaller-leve/,70380,72881,yes,yes,yes,yes,yes,,False,False,False,False,0,67,factors_audit_chunk_02_completed.csv,says the proposed fiscal year 2013 budget is still below the level of state spending when i took office,False
politifact_011,PolitiFact,misleading,"Says her accomplishments include ""a fiscally responsible budget agreement that controls state spending.""",misleading,pants-fire,False,"['budget', 'public_spending']",13,True,2,1.0,6,2012-03-14T00:00:00,https://www.politifact.com/factchecks/2012/mar/14/chris-telfer/can-chris-telfer-claim-credit-budget-re-balance-cl/,68737,71238,yes,yes,yes,yes,yes,,False,False,False,False,0,67,factors_audit_chunk_02_completed.csv,says her accomplishments include a fiscally responsible budget agreement that controls state spending,False
politifact_164,PolitiFact,genuine,"""For every extra year a girl goes to school, her income goes up 12 percent.""",genuine,true,True,['income'],15,True,1,1.0,6,2017-02-22T00:00:00,https://www.politifact.com/factchecks/2017/feb/22/bono/bono-each-year-school-adds-12-womans-income/,63779,66266,yes,yes,yes,yes,yes,,False,False,False,False,0,68,factors_audit_chunk_02_completed.csv,for every extra year a girl goes to school her income goes up 12 percent,False
politifact_164,PolitiFact,misleading,"Congress has passed a $6,400 subsidy for low-income Americans.",misleading,false,False,['income'],9,True,1,1.0,6,2024-01-19T00:00:00,https://www.politifact.com/factchecks/2024/jan/19/facebook-posts/congress-has-not-passed-a-6400-subsidy-for-low-inc/,58838,61114,yes,yes,yes,yes,yes,,False,False,False,False,0,68,factors_audit_chunk_02_completed.csv,congress has passed a 6 400 subsidy for low income americans,False
politifact_165,PolitiFact,genuine,"""One industry in America has increased its employment base in the last four years by 176,000 people: the United States government.""",genuine,true,True,['employment'],21,True,1,1.0,6,2012-10-26T00:00:00,https://www.politifact.com/factchecks/2012/oct/26/johnny-isakson/need-job-obamas-hiring-georgia-senator-says/,67859,70358,yes,yes,yes,yes,yes,,False,False,False,False,0,69,factors_audit_chunk_02_completed.csv,one industry in america has increased its employment base in the last four years by 176 000 people the united states government,False
